training_type,data_name,max_iter,n_particle,avgBest
exchange_layers,breast,20,20,0.8471537610881734
exchange_layers,breast,20,40,0.6953214486001611
exchange_layers,breast,20,60,0.7089093567903275
exchange_layers,breast,20,80,0.8366454276291833
exchange_layers,breast,20,100,0.6660749567794431
exchange_layers,breast,40,20,0.5640173827080797
exchange_layers,breast,40,40,0.8919091498494572
exchange_layers,breast,40,60,0.5913416572199302
exchange_layers,breast,40,80,0.5364541362594496
exchange_layers,breast,40,100,0.5427014238383643
exchange_layers,breast,60,20,0.47588348085894444
exchange_layers,breast,60,40,0.49662744108437434
exchange_layers,breast,60,60,0.4129952494496851
exchange_layers,breast,60,80,0.40614584352177807
exchange_layers,breast,60,100,0.5970051390045535
exchange_layers,breast,80,20,0.44127007077080854
exchange_layers,breast,80,40,0.4223756975754976
exchange_layers,breast,80,60,0.540903776840935
exchange_layers,breast,80,80,0.5397821668030467
exchange_layers,breast,80,100,0.4805099157979407
exchange_layers,breast,100,20,0.4572399188026808
exchange_layers,breast,100,40,0.4312561483175533
exchange_layers,breast,100,60,0.39855063177149885
exchange_layers,breast,100,80,0.3277158750174968
exchange_layers,breast,100,100,0.40624802691651735
exchange_layers,breast,500,20,0.18649235351446458
exchange_layers,breast,500,40,0.18611450825286507
exchange_layers,breast,500,60,0.28669786484519005
exchange_layers,breast,500,80,0.1681486153182938
exchange_layers,breast,500,100,0.21925891235515285
exchange_layers,breast,1000,20,0.12493533584805591
exchange_layers,breast,1000,40,0.16392860503056633
exchange_layers,breast,1000,60,0.21459374226255157
exchange_layers,breast,1000,80,0.11779942543742462
exchange_layers,breast,1000,100,0.081921458488298
exchange_layers,circle,20,20,0.6702553099044147
exchange_layers,circle,20,40,0.681647352981312
exchange_layers,circle,20,60,0.712198100790142
exchange_layers,circle,20,80,0.6869473777199565
exchange_layers,circle,20,100,0.7529891862521859
exchange_layers,circle,40,20,0.6449944865254373
exchange_layers,circle,40,40,0.5464454493043677
exchange_layers,circle,40,60,0.648028526044079
exchange_layers,circle,40,80,0.5377229981988527
exchange_layers,circle,40,100,0.672765445706114
exchange_layers,circle,60,20,0.5526525311016327
exchange_layers,circle,60,40,0.42361290111031746
exchange_layers,circle,60,60,0.4449450527841481
exchange_layers,circle,60,80,0.654516501262574
exchange_layers,circle,60,100,0.39165398840597043
exchange_layers,circle,80,20,0.589847218164939
exchange_layers,circle,80,40,0.6383731393300244
exchange_layers,circle,80,60,0.3431278106582927
exchange_layers,circle,80,80,0.5826701850812053
exchange_layers,circle,80,100,0.4251619922717027
exchange_layers,circle,100,20,0.5682549886994175
exchange_layers,circle,100,40,0.5556503905958372
exchange_layers,circle,100,60,0.3780242478156047
exchange_layers,circle,100,80,0.3582115559356787
exchange_layers,circle,100,100,0.3443288131097436
exchange_layers,circle,500,20,0.32198124989951743
exchange_layers,circle,500,40,0.13759233811603316
exchange_layers,circle,500,60,0.16731757227705987
exchange_layers,circle,500,80,0.11541187880803183
exchange_layers,circle,500,100,0.46973500358533354
exchange_layers,circle,1000,20,0.31857326958611754
exchange_layers,circle,1000,40,0.12670568784242894
exchange_layers,circle,1000,60,0.09063447650539291
exchange_layers,circle,1000,80,0.1038347512605875
exchange_layers,circle,1000,100,0.44193963853344875
exchange_layers,iris,20,20,0.6986294444013608
exchange_layers,iris,20,40,0.6039409028818247
exchange_layers,iris,20,60,1.0770746262560618
exchange_layers,iris,20,80,0.7667977188268409
exchange_layers,iris,20,100,0.6178134506595798
exchange_layers,iris,40,20,0.5265968410519999
exchange_layers,iris,40,40,0.38054818939231555
exchange_layers,iris,40,60,0.35671541887379044
exchange_layers,iris,40,80,0.34150621358584776
exchange_layers,iris,40,100,0.3320932023679454
exchange_layers,iris,60,20,0.5164372486368006
exchange_layers,iris,60,40,0.33153997421883546
exchange_layers,iris,60,60,0.2695989651181555
exchange_layers,iris,60,80,0.5135407587088295
exchange_layers,iris,60,100,0.34177348562355786
exchange_layers,iris,80,20,0.2916005274686293
exchange_layers,iris,80,40,0.2567777232573205
exchange_layers,iris,80,60,0.2378179030375168
exchange_layers,iris,80,80,0.28464288238063123
exchange_layers,iris,80,100,0.23567054434131823
exchange_layers,iris,100,20,0.2894078785303438
exchange_layers,iris,100,40,0.19678487657721733
exchange_layers,iris,100,60,0.2005243175025425
