training_type,data_name,max_iter,n_particle,avgBest
exchange_layers,breast,20,20,0.8471537610881734
exchange_layers,breast,20,40,0.6953214486001611
exchange_layers,breast,20,60,0.7089093567903275
exchange_layers,breast,20,80,0.8366454276291833
exchange_layers,breast,20,100,0.6660749567794431
exchange_layers,breast,40,20,0.5640173827080797
exchange_layers,breast,40,40,0.8919091498494572
exchange_layers,breast,40,60,0.5913416572199302
exchange_layers,breast,40,80,0.5364541362594496
exchange_layers,breast,40,100,0.5427014238383643
exchange_layers,breast,60,20,0.4758834808589444
exchange_layers,breast,60,40,0.4966274410843743
exchange_layers,breast,60,60,0.4129952494496851
exchange_layers,breast,60,80,0.406145843521778
exchange_layers,breast,60,100,0.5970051390045535
exchange_layers,breast,80,20,0.4412700707708085
exchange_layers,breast,80,40,0.4223756975754976
exchange_layers,breast,80,60,0.540903776840935
exchange_layers,breast,80,80,0.5397821668030467
exchange_layers,breast,80,100,0.4805099157979407
exchange_layers,breast,100,20,0.4572399188026808
exchange_layers,breast,100,40,0.4312561483175533
exchange_layers,breast,100,60,0.3985506317714988
exchange_layers,breast,100,80,0.3277158750174968
exchange_layers,breast,100,100,0.4062480269165173
exchange_layers,breast,500,20,0.1864923535144645
exchange_layers,breast,500,40,0.186114508252865
exchange_layers,breast,500,60,0.28669786484519
exchange_layers,breast,500,80,0.1681486153182938
exchange_layers,breast,500,100,0.2192589123551528
exchange_layers,breast,1000,20,0.1249353358480559
exchange_layers,breast,1000,40,0.1639286050305663
exchange_layers,breast,1000,60,0.2145937422625515
exchange_layers,breast,1000,80,0.1177994254374246
exchange_layers,breast,1000,100,0.081921458488298
individual_layers,breast,20,20,0.7395330296964316
individual_layers,breast,20,40,0.7401823606473871
individual_layers,breast,20,60,0.7710963020647483
individual_layers,breast,20,80,0.7112800334074242
individual_layers,breast,20,100,0.5839955657477193
individual_layers,breast,40,20,0.5942490014059041
individual_layers,breast,40,40,0.5124858210983816
individual_layers,breast,40,60,0.4702375185696514
individual_layers,breast,40,80,0.6093997274301723
individual_layers,breast,40,100,0.581408115738399
individual_layers,breast,60,20,0.5172896078762124
individual_layers,breast,60,40,0.4601385341783727
individual_layers,breast,60,60,0.410690280884766
individual_layers,breast,60,80,0.4538098478937001
individual_layers,breast,60,100,0.4357808035873071
individual_layers,breast,80,20,0.4631605533312235
individual_layers,breast,80,40,0.339628013502308
individual_layers,breast,80,60,0.4116926627632723
individual_layers,breast,80,80,0.3879612049349586
individual_layers,breast,80,100,0.333699523774614
individual_layers,breast,100,20,0.399077317983625
individual_layers,breast,100,40,0.4578184582441276
individual_layers,breast,100,60,0.3425417355873985
individual_layers,breast,100,80,0.4050840838079316
individual_layers,breast,100,100,0.3925155779299457
individual_layers,breast,500,20,0.1445365272352279
individual_layers,breast,500,40,0.1624581102005045
individual_layers,breast,500,60,0.1406002187971072
individual_layers,breast,500,80,0.1749828474495525
individual_layers,breast,500,100,0.1554513144437441
individual_layers,breast,1000,20,0.0856032671945652
individual_layers,breast,1000,40,0.0698841952251573
individual_layers,breast,1000,60,0.101680724070473
individual_layers,breast,1000,80,0.114081128900736
individual_layers,breast,1000,100,0.1068708795147022
training_exchange_layers,breast,20,20,0.8626679003204953
training_exchange_layers,breast,20,40,0.6890603158847002
training_exchange_layers,breast,20,60,0.9503594886822122
training_exchange_layers,breast,20,80,0.822914008951032
training_exchange_layers,breast,20,100,0.8056223177316164
training_exchange_layers,breast,40,20,0.7552490313037555
training_exchange_layers,breast,40,40,0.7456605117575613
training_exchange_layers,breast,40,60,0.4680427300340301
training_exchange_layers,breast,40,80,0.6282632450237362
training_exchange_layers,breast,40,100,0.7328878482531015
training_exchange_layers,breast,60,20,0.3644210505724804
training_exchange_layers,breast,60,40,0.4693975762497532
training_exchange_layers,breast,60,60,0.5115077515249115
training_exchange_layers,breast,60,80,0.5094506540228132
training_exchange_layers,breast,60,100,0.3763998617779838
training_exchange_layers,breast,80,20,0.2675514545827004
training_exchange_layers,breast,80,40,0.3869256959286352
training_exchange_layers,breast,80,60,0.37245837304376
training_exchange_layers,breast,80,80,0.4063080235129575
training_exchange_layers,breast,80,100,0.3897450563152987
training_exchange_layers,breast,100,20,0.4396521339481335
training_exchange_layers,breast,100,40,0.4659425550876459
