training_type,data_name,max_iter,n_particle,avgBest
exchange_layers,circle,20,20,0.6702553099044147
exchange_layers,circle,20,40,0.681647352981312
exchange_layers,circle,20,60,0.712198100790142
exchange_layers,circle,20,80,0.6869473777199565
exchange_layers,circle,20,100,0.7529891862521859
exchange_layers,circle,40,20,0.6449944865254373
exchange_layers,circle,40,40,0.5464454493043677
exchange_layers,circle,40,60,0.648028526044079
exchange_layers,circle,40,80,0.5377229981988527
exchange_layers,circle,40,100,0.672765445706114
exchange_layers,circle,60,20,0.5526525311016327
exchange_layers,circle,60,40,0.4236129011103174
exchange_layers,circle,60,60,0.4449450527841481
exchange_layers,circle,60,80,0.654516501262574
exchange_layers,circle,60,100,0.3916539884059704
exchange_layers,circle,80,20,0.589847218164939
exchange_layers,circle,80,40,0.6383731393300244
exchange_layers,circle,80,60,0.3431278106582927
exchange_layers,circle,80,80,0.5826701850812053
exchange_layers,circle,80,100,0.4251619922717027
exchange_layers,circle,100,20,0.5682549886994175
exchange_layers,circle,100,40,0.5556503905958372
exchange_layers,circle,100,60,0.3780242478156047
exchange_layers,circle,100,80,0.3582115559356787
exchange_layers,circle,100,100,0.3443288131097436
exchange_layers,circle,500,20,0.3219812498995174
exchange_layers,circle,500,40,0.1375923381160331
exchange_layers,circle,500,60,0.1673175722770598
exchange_layers,circle,500,80,0.1154118788080318
exchange_layers,circle,500,100,0.4697350035853335
exchange_layers,circle,1000,20,0.3185732695861175
exchange_layers,circle,1000,40,0.1267056878424289
exchange_layers,circle,1000,60,0.0906344765053929
exchange_layers,circle,1000,80,0.1038347512605875
exchange_layers,circle,1000,100,0.4419396385334487
individual_layers,circle,20,20,0.7027359620059751
individual_layers,circle,20,40,0.7162625525165531
individual_layers,circle,20,60,0.6894579439851868
individual_layers,circle,20,80,0.6853194000761806
individual_layers,circle,20,100,0.6640891864045199
individual_layers,circle,40,20,0.6629659348146032
individual_layers,circle,40,40,0.6459202356660166
individual_layers,circle,40,60,0.6697098673666357
individual_layers,circle,40,80,0.6368941035589134
individual_layers,circle,40,100,0.6186959326748601
individual_layers,circle,60,20,0.6294663044403043
individual_layers,circle,60,40,0.6050269751636709
individual_layers,circle,60,60,0.6168878867804819
individual_layers,circle,60,80,0.6092395324528941
individual_layers,circle,60,100,0.578870298819895
individual_layers,circle,80,20,0.6344472965422827
