training_type,data_name,max_iter,n_particle,avgBest
exchange_layers,iris,20,20,0.6986294444013608
exchange_layers,iris,20,40,0.6039409028818247
exchange_layers,iris,20,60,1.0770746262560618
exchange_layers,iris,20,80,0.7667977188268409
exchange_layers,iris,20,100,0.6178134506595798
exchange_layers,iris,40,20,0.5265968410519999
exchange_layers,iris,40,40,0.3805481893923155
exchange_layers,iris,40,60,0.3567154188737904
exchange_layers,iris,40,80,0.3415062135858477
exchange_layers,iris,40,100,0.3320932023679454
exchange_layers,iris,60,20,0.5164372486368006
exchange_layers,iris,60,40,0.3315399742188354
exchange_layers,iris,60,60,0.2695989651181555
exchange_layers,iris,60,80,0.5135407587088295
exchange_layers,iris,60,100,0.3417734856235578
exchange_layers,iris,80,20,0.2916005274686293
exchange_layers,iris,80,40,0.2567777232573205
exchange_layers,iris,80,60,0.2378179030375168
exchange_layers,iris,80,80,0.2846428823806312
exchange_layers,iris,80,100,0.2356705443413182
exchange_layers,iris,100,20,0.2894078785303438
exchange_layers,iris,100,40,0.1967848765772173
exchange_layers,iris,100,60,0.2005243175025425
exchange_layers,iris,100,80,0.2199191003459685
exchange_layers,iris,100,100,0.1824477815428293
exchange_layers,iris,500,20,0.1059480362769823
exchange_layers,iris,500,40,0.1023942388704766
exchange_layers,iris,500,60,0.0965229758720404
exchange_layers,iris,500,80,0.0933206531705383
exchange_layers,iris,500,100,0.0879668887979756
exchange_layers,iris,1000,20,0.0846626483404938
exchange_layers,iris,1000,40,0.0748763032464227
exchange_layers,iris,1000,60,0.075752465641009
exchange_layers,iris,1000,80,0.0662477822083697
exchange_layers,iris,1000,100,0.0592192130043179
individual_layers,iris,20,20,0.6655159843352536
individual_layers,iris,20,40,0.8309432650523286
individual_layers,iris,20,60,0.7248115255615476
individual_layers,iris,20,80,0.6079816256045387
individual_layers,iris,20,100,0.6993809853402309
individual_layers,iris,40,20,0.5968431950164782
individual_layers,iris,40,40,0.5022476333840358
individual_layers,iris,40,60,0.5761020299653932
individual_layers,iris,40,80,0.6023461827140578
individual_layers,iris,40,100,0.562128761059818
individual_layers,iris,60,20,0.5201350663801697
individual_layers,iris,60,40,0.4778916889459706
individual_layers,iris,60,60,0.3564376932550966
individual_layers,iris,60,80,0.4576296196558517
individual_layers,iris,60,100,0.4602806299497146
individual_layers,iris,80,20,0.4590002609564587
individual_layers,iris,80,40,0.3446255514642896
individual_layers,iris,80,60,0.3465370725058865
individual_layers,iris,80,80,0.3222156858469501
individual_layers,iris,80,100,0.3307420173579622
individual_layers,iris,100,20,0.3370548953215415
individual_layers,iris,100,40,0.3455676136695474
individual_layers,iris,100,60,0.2893479427030224
individual_layers,iris,100,80,0.3054275016857778
individual_layers,iris,100,100,0.2390807532973896
individual_layers,iris,500,20,0.1356919339611932
individual_layers,iris,500,40,0.1241620469502333
individual_layers,iris,500,60,0.1060074634041427
individual_layers,iris,500,80,0.1008451590875628
individual_layers,iris,500,100,0.1184457179317144
individual_layers,iris,1000,20,0.1073484022232147
individual_layers,iris,1000,40,0.0785094594439198
individual_layers,iris,1000,60,0.0926533548119257
individual_layers,iris,1000,80,0.0908650676012531
individual_layers,iris,1000,100,0.0900614832408815
training_exchange_layers,iris,20,20,0.5600665526566523
training_exchange_layers,iris,20,40,0.7935285437106815
training_exchange_layers,iris,20,60,0.6724867031837679
training_exchange_layers,iris,20,80,0.952101930178708
training_exchange_layers,iris,20,100,0.6089980277328112
training_exchange_layers,iris,40,20,0.5251252466987193
training_exchange_layers,iris,40,40,0.6394457895416069
training_exchange_layers,iris,40,60,0.591861916972158
training_exchange_layers,iris,40,80,0.6117837406466288
training_exchange_layers,iris,40,100,0.4019135198296942
training_exchange_layers,iris,60,20,0.4022342892451586
training_exchange_layers,iris,60,40,0.5251508273328503
training_exchange_layers,iris,60,60,0.7738424109264967
training_exchange_layers,iris,60,80,0.3935625882816945
training_exchange_layers,iris,60,100,0.268807625746032
training_exchange_layers,iris,80,20,0.392153894536189
training_exchange_layers,iris,80,40,0.3748907711209606
training_exchange_layers,iris,80,60,0.4893555637964221
training_exchange_layers,iris,80,80,0.2872991615104249
training_exchange_layers,iris,80,100,0.315770002304256
training_exchange_layers,iris,100,20,0.308285659704624
training_exchange_layers,iris,100,40,0.2292090839125295
training_exchange_layers,iris,100,60,0.3603793947476748
training_exchange_layers,iris,100,80,0.2649449817485295
training_exchange_layers,iris,100,100,0.2177956949484644
training_exchange_layers,iris,500,20,0.0837625843581667
training_exchange_layers,iris,500,40,0.0871992123551048
training_exchange_layers,iris,500,60,0.0869586527094369
training_exchange_layers,iris,500,80,0.1988143183428378
training_exchange_layers,iris,500,100,0.0962497296683526
training_exchange_layers,iris,1000,20,0.1116231722141254
training_exchange_layers,iris,1000,40,0.0809432965718277
training_exchange_layers,iris,1000,60,0.072454507148569
training_exchange_layers,iris,1000,80,0.0684529589742181
training_exchange_layers,iris,1000,100,0.0610470442049584
training_exchange_layers_e,iris,20,20,0.976395515844392
training_exchange_layers_e,iris,20,40,0.4677134336182748
training_exchange_layers_e,iris,20,60,0.6236288468320733
training_exchange_layers_e,iris,20,80,0.7497489741065467
training_exchange_layers_e,iris,20,100,0.6484968849356889
training_exchange_layers_e,iris,40,20,0.4740122836868795
