training_type,data_name,max_iter,n_particle,avgBest
exchange_layers,wine,20,20,1.2881564597307409
exchange_layers,wine,20,40,1.162816966265235
exchange_layers,wine,20,60,1.0332152312648517
exchange_layers,wine,20,80,1.2227924320888934
exchange_layers,wine,20,100,1.1721746194991105
exchange_layers,wine,40,20,1.008355679738439
exchange_layers,wine,40,40,0.8572816898834426
exchange_layers,wine,40,60,0.8463975523244398
exchange_layers,wine,40,80,0.9090714159546972
exchange_layers,wine,40,100,0.6953015616610703
exchange_layers,wine,60,20,1.1428895222099371
exchange_layers,wine,60,40,0.6305233768124275
exchange_layers,wine,60,60,1.100073726863574
exchange_layers,wine,60,80,0.5548399261458662
exchange_layers,wine,60,100,0.612639216186954
exchange_layers,wine,80,20,0.578357682671663
exchange_layers,wine,80,40,0.480254453449722
exchange_layers,wine,80,60,0.5500457630875164
exchange_layers,wine,80,80,0.6579091352134405
exchange_layers,wine,80,100,0.4618819943389262
exchange_layers,wine,100,20,0.5559802280580383
exchange_layers,wine,100,40,0.4283091388260963
exchange_layers,wine,100,60,0.5526893380684219
exchange_layers,wine,100,80,0.4408301073393775
exchange_layers,wine,100,100,0.4340569798442936
exchange_layers,wine,500,20,0.0972306109001126
exchange_layers,wine,500,40,0.0953286816968784
exchange_layers,wine,500,60,0.0882159322221366
exchange_layers,wine,500,80,0.1090555695814132
exchange_layers,wine,500,100,0.12239082645458
exchange_layers,wine,1000,20,0.0715540133176875
exchange_layers,wine,1000,40,0.0414438226308676
exchange_layers,wine,1000,60,0.0482641951907949
exchange_layers,wine,1000,80,0.0508875185689822
exchange_layers,wine,1000,100,0.0687970948515391
individual_layers,wine,20,20,1.2732379026887164
individual_layers,wine,20,40,1.408121601296499
individual_layers,wine,20,60,1.2272562565535936
individual_layers,wine,20,80,1.0324783342637938
individual_layers,wine,20,100,1.201999687543316
individual_layers,wine,40,20,0.8553772148498169
individual_layers,wine,40,40,0.8200115083181552
individual_layers,wine,40,60,0.8060702809456927
individual_layers,wine,40,80,0.6421415463431371
individual_layers,wine,40,100,0.8461627712201325
individual_layers,wine,60,20,0.7484731305917164
individual_layers,wine,60,40,0.658496318931923
individual_layers,wine,60,60,0.4880840593555908
individual_layers,wine,60,80,0.5802640886853878
individual_layers,wine,60,100,0.655567741322111
individual_layers,wine,80,20,0.6142900678297413
individual_layers,wine,80,40,0.5936192256348122
individual_layers,wine,80,60,0.6142316324179408
individual_layers,wine,80,80,0.7169158043861266
individual_layers,wine,80,100,0.7613546687500927
individual_layers,wine,100,20,0.4917066057955643
individual_layers,wine,100,40,0.4842706607002783
individual_layers,wine,100,60,0.489255965063514
individual_layers,wine,100,80,0.4054529219292512
individual_layers,wine,100,100,0.6501421437780136
individual_layers,wine,500,20,0.1232733807884582
individual_layers,wine,500,40,0.1896312892565178
individual_layers,wine,500,60,0.1035874527814771
individual_layers,wine,500,80,0.1483010373484193
individual_layers,wine,500,100,0.1455688773922411
individual_layers,wine,1000,20,0.0765331445697975
individual_layers,wine,1000,40,0.0640668691969884
individual_layers,wine,1000,60,0.0467460481847923
individual_layers,wine,1000,80,0.0693182744525517
individual_layers,wine,1000,100,0.0546079893183592
training_exchange_layers,wine,20,20,1.0948751067293931
training_exchange_layers,wine,20,40,1.145879305935619
training_exchange_layers,wine,20,60,1.3932864232101143
training_exchange_layers,wine,20,80,1.0453215433054277
training_exchange_layers,wine,20,100,1.181606899475695
training_exchange_layers,wine,40,20,0.6725780294608529
training_exchange_layers,wine,40,40,0.7368002731438424
training_exchange_layers,wine,40,60,1.0422696698538894
training_exchange_layers,wine,40,80,0.8862574111864322
training_exchange_layers,wine,40,100,0.801938361283545
training_exchange_layers,wine,60,20,0.6403836245753997
training_exchange_layers,wine,60,40,0.6049567278225904
training_exchange_layers,wine,60,60,1.0004758653925894
training_exchange_layers,wine,60,80,0.7270458134153649
training_exchange_layers,wine,60,100,0.5154330373095283
training_exchange_layers,wine,80,20,0.7532403764519038
training_exchange_layers,wine,80,40,0.4857656948104107
training_exchange_layers,wine,80,60,0.5948542502150482
training_exchange_layers,wine,80,80,0.5399864584244869
training_exchange_layers,wine,80,100,0.7652872868907861
training_exchange_layers,wine,100,20,0.4148226510179843
training_exchange_layers,wine,100,40,0.4844162407833879
training_exchange_layers,wine,100,60,0.4207738219876217
training_exchange_layers,wine,100,80,0.5003837946987979
training_exchange_layers,wine,100,100,0.3081731671768237
training_exchange_layers,wine,500,20,0.1276830754740007
training_exchange_layers,wine,500,40,0.1990908424129271
training_exchange_layers,wine,500,60,0.1383738256252378
training_exchange_layers,wine,500,80,0.0974672266491337
training_exchange_layers,wine,500,100,0.1681738942032072
training_exchange_layers,wine,1000,20,0.0614636690204954
training_exchange_layers,wine,1000,40,0.15611525982668
training_exchange_layers,wine,1000,60,0.0382496848709105
training_exchange_layers,wine,1000,80,0.0356366716398188
training_exchange_layers,wine,1000,100,0.0570415551520673
training_exchange_layers_e,wine,20,20,1.4468725793461703
training_exchange_layers_e,wine,20,40,0.9604385663438992
training_exchange_layers_e,wine,20,60,1.034367173325354
training_exchange_layers_e,wine,20,80,0.8996194398501612
training_exchange_layers_e,wine,20,100,1.2015365083825886
training_exchange_layers_e,wine,40,20,1.232285292180442
training_exchange_layers_e,wine,40,40,0.95909345207651
training_exchange_layers_e,wine,40,60,1.1039489205368007
training_exchange_layers_e,wine,40,80,0.8927776172922559
training_exchange_layers_e,wine,40,100,0.9580336759936732
training_exchange_layers_e,wine,60,20,0.8216844485170202
training_exchange_layers_e,wine,60,40,0.9174811740727652
training_exchange_layers_e,wine,60,60,0.8939062759585981
training_exchange_layers_e,wine,60,80,0.6104350544911175
training_exchange_layers_e,wine,60,100,0.9650032660097354
training_exchange_layers_e,wine,80,20,0.8627466896491593
training_exchange_layers_e,wine,80,40,0.5050145436782891
training_exchange_layers_e,wine,80,60,0.4425769220075923
training_exchange_layers_e,wine,80,80,0.7630004784589581
training_exchange_layers_e,wine,80,100,0.4781333379441259
training_exchange_layers_e,wine,100,20,1.1741656710615354
training_exchange_layers_e,wine,100,40,0.598587910440521
training_exchange_layers_e,wine,100,60,0.7059214393008638
training_exchange_layers_e,wine,100,80,0.8471300205457556
training_exchange_layers_e,wine,100,100,0.3381925567311395
training_exchange_layers_e,wine,500,20,0.1197763173069813
training_exchange_layers_e,wine,500,40,0.1589853618160616
training_exchange_layers_e,wine,500,60,0.1242927561246633
training_exchange_layers_e,wine,500,80,0.1505552474158147
training_exchange_layers_e,wine,500,100,0.088292669827656
training_exchange_layers_e,wine,1000,20,0.052773098393773
training_exchange_layers_e,wine,1000,40,0.122693724667684
training_exchange_layers_e,wine,1000,60,0.0462516051810049
training_exchange_layers_e,wine,1000,80,0.0811194143743603
training_exchange_layers_e,wine,1000,100,0.1017410149425767
no_individual_layers,wine,20,20,1.1512909190749518
no_individual_layers,wine,20,40,0.990136581322502
no_individual_layers,wine,20,60,1.1163051890022664
no_individual_layers,wine,20,80,1.141763673938758
no_individual_layers,wine,20,100,0.993461141906994
no_individual_layers,wine,40,20,0.8767538388379718
no_individual_layers,wine,40,40,0.7611328737573267
no_individual_layers,wine,40,60,0.8514056685280843
no_individual_layers,wine,40,80,0.8572772262504439
no_individual_layers,wine,40,100,0.7199051637869739
no_individual_layers,wine,60,20,0.6774837463357127
no_individual_layers,wine,60,40,0.7830575980463247
no_individual_layers,wine,60,60,0.7060125679164402
no_individual_layers,wine,60,80,0.7170405535390588
no_individual_layers,wine,60,100,0.6046259475450092
no_individual_layers,wine,80,20,0.736572146742594
no_individual_layers,wine,80,40,0.5308302842975146
no_individual_layers,wine,80,60,0.5861379715309182
no_individual_layers,wine,80,80,0.7350735375803891
no_individual_layers,wine,80,100,0.71891020868299
no_individual_layers,wine,100,20,0.5533082130862026
no_individual_layers,wine,100,40,0.6545947258093148
no_individual_layers,wine,100,60,0.5543455002324608
no_individual_layers,wine,100,80,0.4916772595867898
no_individual_layers,wine,100,100,0.4877523016880146
no_individual_layers,wine,500,20,0.1473501571375096
no_individual_layers,wine,500,40,0.1003450692783256
no_individual_layers,wine,500,60,0.1071123025055997
no_individual_layers,wine,500,80,0.1109120558429139
no_individual_layers,wine,500,100,0.0917406433377421
no_individual_layers,wine,1000,20,0.0668692426117369
no_individual_layers,wine,1000,40,0.0613816344819721
no_individual_layers,wine,1000,60,0.0502403890229845
no_individual_layers,wine,1000,80,0.047179535206957
no_individual_layers,wine,1000,100,0.053808650199603
no_exchange_layers,wine,20,20,1.2366769040312755
no_exchange_layers,wine,20,40,1.1601640590655773
no_exchange_layers,wine,20,60,1.1075923961762724
no_exchange_layers,wine,20,80,1.3527498903946602
no_exchange_layers,wine,20,100,0.7966943457012732
no_exchange_layers,wine,40,20,1.0747277519439158
no_exchange_layers,wine,40,40,1.0823454612686336
no_exchange_layers,wine,40,60,0.8988916548656597
no_exchange_layers,wine,40,80,0.7295181301697443
no_exchange_layers,wine,40,100,0.9356534584368804
no_exchange_layers,wine,60,20,0.7324202177369914
no_exchange_layers,wine,60,40,0.8192152506254481
no_exchange_layers,wine,60,60,0.6613632144180489
no_exchange_layers,wine,60,80,0.6980805220305538
no_exchange_layers,wine,60,100,0.983795818003443
no_exchange_layers,wine,80,20,0.856128325318194
no_exchange_layers,wine,80,40,0.5973533686940883
no_exchange_layers,wine,80,60,0.5090813382552367
no_exchange_layers,wine,80,80,0.4704075577545999
no_exchange_layers,wine,80,100,0.5565833460546583
no_exchange_layers,wine,100,20,0.6725843081548831
no_exchange_layers,wine,100,40,0.7065389013995004
no_exchange_layers,wine,100,60,0.6794441488620283
no_exchange_layers,wine,100,80,0.4234846916882959
no_exchange_layers,wine,100,100,0.481542857652853
no_exchange_layers,wine,500,20,0.0874048140565859
no_exchange_layers,wine,500,40,0.1377228781005274
no_exchange_layers,wine,500,60,0.0898554927735977
no_exchange_layers,wine,500,80,0.0965842018800424
no_exchange_layers,wine,500,100,0.0842371357804404
no_exchange_layers,wine,1000,20,0.1099214430523983
no_exchange_layers,wine,1000,40,0.0485018215334814
no_exchange_layers,wine,1000,60,0.0869865439575405
no_exchange_layers,wine,1000,80,0.0922715767303592
no_exchange_layers,wine,1000,100,0.0725975819057023
