training_type,data_name,max_iter,n_particle,best,worst
exchange_layers,breast,20,20,0.1857591913434177,0.5301413998619315
exchange_layers,breast,20,40,0.1019059321921368,0.5205917686783457
exchange_layers,breast,20,60,0.1492202709238041,0.336704404565005
exchange_layers,breast,20,80,0.1214940384353941,0.4043020310681179
exchange_layers,breast,20,100,0.0813862352694255,0.2295065706975539
exchange_layers,breast,40,20,0.1452038891193621,0.503617320228973
exchange_layers,breast,40,40,0.1225101724444434,0.5102792953444952
exchange_layers,breast,40,60,0.0892135407648288,0.3778657332653782
exchange_layers,breast,40,80,0.091363862734183,0.3807479001976656
exchange_layers,breast,40,100,0.0790205803100733,0.2841208762131345
exchange_layers,breast,60,20,0.1351824549077884,0.4813406568572361
exchange_layers,breast,60,40,0.1098966992700399,0.4522130497810802
exchange_layers,breast,60,60,0.0975571236155219,0.3155657757107133
exchange_layers,breast,60,80,0.0909495480658933,0.4656418541565618
exchange_layers,breast,60,100,0.1266276745681875,0.3973056903108736
exchange_layers,breast,80,20,0.0829374015299392,0.6655450937365669
exchange_layers,breast,80,40,0.0877415858162779,0.3585091643325707
exchange_layers,breast,80,60,0.1148091877005101,0.7908818757374219
exchange_layers,breast,80,80,0.0950655192579634,0.4473835490191807
exchange_layers,breast,80,100,0.0780076983780342,0.3576392117487257
exchange_layers,breast,100,20,0.0803752020704424,0.9290066664754882
exchange_layers,breast,100,40,0.0831647277123804,0.601770702178861
exchange_layers,breast,100,60,0.0882690686727168,0.6361919600379679
exchange_layers,breast,100,80,0.0521023321188684,0.3149861954193701
exchange_layers,breast,100,100,0.0723048921461828,0.3849725694862803
exchange_layers,breast,500,20,0.0381078134604792,0.5389114547302183
exchange_layers,breast,500,40,0.0408540809849537,0.5718086822643867
exchange_layers,breast,500,60,0.0488703238868614,0.3409896546655782
exchange_layers,breast,500,80,0.0188761847489706,0.3526005237506343
exchange_layers,breast,500,100,0.0138306665713641,0.5982574766892211
exchange_layers,breast,1000,20,0.0131111125565626,0.503480118894175
exchange_layers,breast,1000,40,0.0108293479759177,0.5923227510005896
exchange_layers,breast,1000,60,0.0336243434580325,0.4741209952678187
exchange_layers,breast,1000,80,0.0085763554399122,0.541567354936085
exchange_layers,breast,1000,100,0.0138709825555346,0.3793321893288423
individual_layers,breast,20,20,0.176130124847794,0.6007398756772502
individual_layers,breast,20,40,0.1387708544602302,0.5212087151696989
individual_layers,breast,20,60,0.1546637419621913,0.3390048700512823
individual_layers,breast,20,80,0.1236287903444524,0.4421013643457256
individual_layers,breast,20,100,0.114961469373254,0.28998155608902
individual_layers,breast,40,20,0.1685908888547663,0.5476821954727991
individual_layers,breast,40,40,0.1024040953796923,0.3031449046687373
individual_layers,breast,40,60,0.1122517768884583,0.3718608020838006
individual_layers,breast,40,80,0.1310765836024646,0.4082931650999822
individual_layers,breast,40,100,0.127518769613961,0.2688400514445142
individual_layers,breast,60,20,0.124866351460679,0.7093850020561003
individual_layers,breast,60,40,0.108844205916103,0.4314011785014411
individual_layers,breast,60,60,0.089897204546898,0.3506440898673558
individual_layers,breast,60,80,0.1047792969358181,0.4421884112203975
individual_layers,breast,60,100,0.0846875037541829,0.3282136006880793
individual_layers,breast,80,20,0.0973981758279229,0.5282292903063363
individual_layers,breast,80,40,0.0827421168381062,0.354116723124547
individual_layers,breast,80,60,0.0832663220607967,0.4581563611929342
individual_layers,breast,80,80,0.0792833442913198,0.3887311396768511
individual_layers,breast,80,100,0.0821230429673959,0.2354870239343548
individual_layers,breast,100,20,0.0917105461375426,0.5953881822224366
individual_layers,breast,100,40,0.1451228979285829,0.4172359442535241
individual_layers,breast,100,60,0.0801271918726455,0.3473766307364644
individual_layers,breast,100,80,0.0819029849679512,0.35616060014607
individual_layers,breast,100,100,0.0666248909461902,0.3799385356243663
individual_layers,breast,500,20,0.0501626284289646,0.5844357543178921
individual_layers,breast,500,40,0.0564013345522032,0.336777102778104
individual_layers,breast,500,60,0.0358743893163662,0.3351859840424739
individual_layers,breast,500,80,0.030447946913198,0.3517081112618292
individual_layers,breast,500,100,0.0192972103134945,0.361084440508052
individual_layers,breast,1000,20,0.0234655608264476,0.3554214606450347
individual_layers,breast,1000,40,0.0139292164353318,0.4127055569829308
individual_layers,breast,1000,60,0.0172923060150058,0.4251001150915927
individual_layers,breast,1000,80,0.009457018861229,0.4285345622085718
individual_layers,breast,1000,100,0.0075583436956406,0.3563512642577575
training_exchange_layers,breast,20,20,0.1037120794161002,0.6729357988494497
training_exchange_layers,breast,20,40,0.179792679571222,0.4315976124625107
training_exchange_layers,breast,20,60,0.1872996614515494,0.6237155607394873
training_exchange_layers,breast,20,80,0.1503281514712728,0.4144390194023679
training_exchange_layers,breast,20,100,0.1100313190174775,0.3924924729674365
training_exchange_layers,breast,40,20,0.1626172059227231,0.4896721788048426
training_exchange_layers,breast,40,40,0.1210830828588034,0.5903857114947912
training_exchange_layers,breast,40,60,0.0790978305014378,0.4935194699445374
training_exchange_layers,breast,40,80,0.10757425005973,0.3705603568991655
training_exchange_layers,breast,40,100,0.1167975328533802,0.2924328370629285
training_exchange_layers,breast,60,20,0.0917116688649776,0.5912136762924093
training_exchange_layers,breast,60,40,0.0940620530544359,0.336241264089786
training_exchange_layers,breast,60,60,0.0969712925720722,0.6017654072246664
training_exchange_layers,breast,60,80,0.0982416152709452,0.2791027485846922
training_exchange_layers,breast,60,100,0.0805043569314074,0.3262835549505874
