training_type,data_name,max_iter,n_particle,best,worst
exchange_layers,circle,20,20,0.536461738378574,0.6821213629535119
exchange_layers,circle,20,40,0.4756228907457197,0.714304340084429
exchange_layers,circle,20,60,0.486753602995373,0.772078748553091
exchange_layers,circle,20,80,0.3560809313061473,0.7065369146880289
exchange_layers,circle,20,100,0.4243313134713947,0.6956558664623104
exchange_layers,circle,40,20,0.5011935925491311,0.7355996889421847
exchange_layers,circle,40,40,0.3501776698120956,0.6478373512893674
exchange_layers,circle,40,60,0.3641378709522043,0.7198256162952676
exchange_layers,circle,40,80,0.2236762127345558,0.6075410685951398
exchange_layers,circle,40,100,0.3009295818280523,0.7432061626488686
exchange_layers,circle,60,20,0.4604537204585203,0.6976507085324358
exchange_layers,circle,60,40,0.153427798250306,0.6722536718731612
exchange_layers,circle,60,60,0.1704302944207038,0.6805286468155888
exchange_layers,circle,60,80,0.2321368615222505,0.7277192001638461
exchange_layers,circle,60,100,0.0615617035093687,0.6467748048403943
exchange_layers,circle,80,20,0.3218850977880682,1.0753071726399082
exchange_layers,circle,80,40,0.1997532739970696,0.9938791311245022
exchange_layers,circle,80,60,0.0303531162986381,0.6788822439521286
exchange_layers,circle,80,80,0.4398569316841361,0.6905184323611956
exchange_layers,circle,80,100,0.0731911006423534,0.7406076293064427
exchange_layers,circle,100,20,0.4175598886214607,0.7272754797779515
exchange_layers,circle,100,40,0.176986691080719,1.0173887819060634
exchange_layers,circle,100,60,0.0937358253571934,0.7572797530657129
exchange_layers,circle,100,80,0.0308467698740916,0.6734081156384558
exchange_layers,circle,100,100,0.0792270500320367,0.6870470687457624
exchange_layers,circle,500,20,0.1718435995122481,0.7541989183866719
exchange_layers,circle,500,40,0.0050596783748746,0.7080261765441502
exchange_layers,circle,500,60,0.0063709683775087,0.722008008170793
exchange_layers,circle,500,80,5.291347218946081e-05,0.6702739971190196
exchange_layers,circle,500,100,0.3575865819267055,0.6574016404272247
exchange_layers,circle,1000,20,0.2589820788527923,1.3277592084297178
exchange_layers,circle,1000,40,7.624209763720798e-06,0.6559405175978147
exchange_layers,circle,1000,60,0.0008831783554433,0.7203279768102455
exchange_layers,circle,1000,80,0.0005089662929239,0.6838918653355328
exchange_layers,circle,1000,100,0.3684484620457749,0.677670324228067
individual_layers,circle,20,20,0.6245572203019731,0.7054612728673918
individual_layers,circle,20,40,0.5348949090813494,0.6876568618377185
individual_layers,circle,20,60,0.5189074331265154,0.6786193033334262
individual_layers,circle,20,80,0.5507865511709716,0.6860643073546796
individual_layers,circle,20,100,0.4711817810214588,0.6846568498035207
individual_layers,circle,40,20,0.5467103281697725,0.6959207865002894
individual_layers,circle,40,40,0.4672621039917249,0.6920504842574022
individual_layers,circle,40,60,0.4377748817555845,0.6976835452506203
individual_layers,circle,40,80,0.4531819789348902,0.6722019836379588
individual_layers,circle,40,100,0.4530505654177672,0.6697919400250677
individual_layers,circle,60,20,0.513441573255819,0.6887065241500404
individual_layers,circle,60,40,0.4548814273013096,0.6978465868172656
individual_layers,circle,60,60,0.4673191931818208,0.6985712101283466
individual_layers,circle,60,80,0.4175012990955422,0.6867480756147756
individual_layers,circle,60,100,0.3973693636820096,0.6798208924653719
individual_layers,circle,80,20,0.4835688899744956,0.7064897391039292
individual_layers,circle,80,40,0.5579762414813819,0.7009103256716154
individual_layers,circle,80,60,0.4705173327474943,0.6955867046424294
individual_layers,circle,80,80,0.4043182688791137,0.6721779777106016
individual_layers,circle,80,100,0.3192527240740355,0.6947218247078197
individual_layers,circle,100,20,0.4636769978855291,0.7034293681963857
individual_layers,circle,100,40,0.5381175931145343,0.6920203283864609
individual_layers,circle,100,60,0.5130001101299553,0.6795279703336468
individual_layers,circle,100,80,0.4008941934092233,0.6893297662986339
individual_layers,circle,100,100,0.3780783678464331,0.6567934526283699
individual_layers,circle,500,20,0.4674405030704132,0.7379902276280488
individual_layers,circle,500,40,0.3465496150486986,0.6852730706021644
individual_layers,circle,500,60,0.3396321983229058,0.6948062059358708
individual_layers,circle,500,80,0.3764916571299093,0.6886931163874797
individual_layers,circle,500,100,0.3202474863619201,0.693467486578241
individual_layers,circle,1000,20,0.4277454537559187,0.700834145318052
individual_layers,circle,1000,40,0.3206165679111352,0.7016606970144557
individual_layers,circle,1000,60,0.205264670383597,0.6830297804135105
individual_layers,circle,1000,80,0.4544638889161378,0.6982613855114852
individual_layers,circle,1000,100,0.2269610687083914,0.6863276231672703
training_exchange_layers,circle,20,20,0.5409506617550994,0.6726767292477986
training_exchange_layers,circle,20,40,0.5415050942765229,0.6540778823821023
training_exchange_layers,circle,20,60,0.4447438741046443,0.6669356563417088
training_exchange_layers,circle,20,80,0.4311491852381945,0.6861635730095494
training_exchange_layers,circle,20,100,0.4379590677668353,0.6701529856992681
training_exchange_layers,circle,40,20,0.3639977330649604,0.6807108381816437
training_exchange_layers,circle,40,40,0.2954628542830528,0.7030176952134033
training_exchange_layers,circle,40,60,0.2021045695872041,0.6901713664195681
training_exchange_layers,circle,40,80,0.1640771540838484,0.6881058581603887
training_exchange_layers,circle,40,100,0.1805340613670876,0.6575687195236475
training_exchange_layers,circle,60,20,0.3403482714245481,0.6917898204603046
training_exchange_layers,circle,60,40,0.1495158823700657,0.7796324136562091
training_exchange_layers,circle,60,60,0.1257450218189699,0.7190410141521915
training_exchange_layers,circle,60,80,0.0579560718053043,0.6825385220618729
training_exchange_layers,circle,60,100,0.1474697271452508,0.6743093821093368
training_exchange_layers,circle,80,20,0.2338227168629218,0.7078882305981672
training_exchange_layers,circle,80,40,0.1265402459222817,0.6818220776222713
training_exchange_layers,circle,80,60,0.1065447648048367,0.6764438681027752
training_exchange_layers,circle,80,80,0.0736687556762409,0.754778024492978
