training_type,data_name,max_iter,n_particle,best,worst
exchange_layers,iris,20,20,0.1766097375865184,0.735622445348852
exchange_layers,iris,20,40,0.1585506099738208,0.6615660022230877
exchange_layers,iris,20,60,0.0621027037789591,0.6287282151213082
exchange_layers,iris,20,80,0.0945969988323784,0.7963290986873024
exchange_layers,iris,20,100,0.1575149288545528,0.6323969044223056
exchange_layers,iris,40,20,0.0735339089119328,1.0734831859342784
exchange_layers,iris,40,40,0.0632049857764194,0.5554379843884542
exchange_layers,iris,40,60,0.0661008306401816,0.5470492795044664
exchange_layers,iris,40,80,0.0605642842984521,0.6009667301819133
exchange_layers,iris,40,100,0.0617536064951045,0.4582239292313891
exchange_layers,iris,60,20,0.0727338904472999,1.1071789334620172
exchange_layers,iris,60,40,0.0477463874720209,0.511677235641162
exchange_layers,iris,60,60,0.0512288890434732,0.6264497331240977
exchange_layers,iris,60,80,0.0523693193249229,1.2397492530329397
exchange_layers,iris,60,100,0.058459439980426,0.5204047586584296
exchange_layers,iris,80,20,0.0512961713401264,0.9995112453649684
exchange_layers,iris,80,40,0.0795174811306274,0.6753775353540541
exchange_layers,iris,80,60,0.0481687355695961,0.6095339174355874
exchange_layers,iris,80,80,0.0526164980262555,0.7517899335066467
exchange_layers,iris,80,100,0.060659173843775,0.6348016438518183
exchange_layers,iris,100,20,0.0584491593107524,1.0357879128676442
exchange_layers,iris,100,40,0.0471758165470595,0.669471888989141
exchange_layers,iris,100,60,0.046561874770126,0.4799246414766691
exchange_layers,iris,100,80,0.0502632071774867,0.6743654715815446
exchange_layers,iris,100,100,0.0518474924117718,0.4555323581130301
exchange_layers,iris,500,20,0.0497148883547684,0.7527091108591033
exchange_layers,iris,500,40,0.0507618677821108,0.6920509444864724
exchange_layers,iris,500,60,0.017062872455446,0.6607663988397604
exchange_layers,iris,500,80,0.0455254019249849,0.7006178045608673
exchange_layers,iris,500,100,0.047604674133999,0.5628707999901045
exchange_layers,iris,1000,20,0.0471100579581985,0.7214603053689118
exchange_layers,iris,1000,40,0.039323584642204,0.9268900752251726
exchange_layers,iris,1000,60,0.0372567569535709,0.6696531939965715
exchange_layers,iris,1000,80,0.0466406715909099,0.6446709988029808
exchange_layers,iris,1000,100,0.0342977402124867,0.3075081749995187
individual_layers,iris,20,20,0.2571521409103766,0.8417034910418728
individual_layers,iris,20,40,0.3624529724747806,0.9071624943707544
individual_layers,iris,20,60,0.2812714679820131,0.7458363116838533
individual_layers,iris,20,80,0.1010864794200293,0.7539159048056578
individual_layers,iris,20,100,0.2441296191351494,0.6491931244902738
individual_layers,iris,40,20,0.2279925810682976,0.9340311730468944
individual_layers,iris,40,40,0.1234825433193012,0.874301987191265
individual_layers,iris,40,60,0.1699291519564227,0.8995609083599976
individual_layers,iris,40,80,0.1294255211729337,0.755106653182137
individual_layers,iris,40,100,0.1864135798045938,0.8439705736165423
individual_layers,iris,60,20,0.2157821563916885,1.1015859584611585
individual_layers,iris,60,40,0.1857606593630357,0.8165732182657862
individual_layers,iris,60,60,0.0915789934317773,0.6437586753948266
individual_layers,iris,60,80,0.0709650047341603,0.8850134016348906
individual_layers,iris,60,100,0.0808348013551655,0.7188472631596285
individual_layers,iris,80,20,0.197192902775694,0.8234248431165626
individual_layers,iris,80,40,0.1021850318037413,0.9440775906085253
individual_layers,iris,80,60,0.0816098609872462,0.8039677581128972
individual_layers,iris,80,80,0.0676954980330528,0.6841759074324772
individual_layers,iris,80,100,0.0532322946393756,0.7173187970277557
individual_layers,iris,100,20,0.1045701293881844,0.999727058043656
individual_layers,iris,100,40,0.0931503021761226,0.9325087782425268
individual_layers,iris,100,60,0.0738930145435965,0.9333710908881578
individual_layers,iris,100,80,0.0640878047619916,0.934797906138764
individual_layers,iris,100,100,0.0520992130364591,0.8760956228796154
individual_layers,iris,500,20,0.049419851665123,0.6259681051450464
individual_layers,iris,500,40,0.0513000080303515,0.8274587727182955
individual_layers,iris,500,60,0.0491931068134288,0.6376012015091836
individual_layers,iris,500,80,0.0491731305636207,0.7265524972377837
individual_layers,iris,500,100,0.0512909538378236,0.7859029129790338
individual_layers,iris,1000,20,0.0481483958357391,1.039491541172504
individual_layers,iris,1000,40,0.0461924304963598,0.7103996372789069
individual_layers,iris,1000,60,0.049314352941476,0.946585831506184
individual_layers,iris,1000,80,0.0477051311293558,0.7524467611898311
individual_layers,iris,1000,100,0.0472047515377952,0.7467440610424368
training_exchange_layers,iris,20,20,0.1395437008610619,1.2254090535149442
training_exchange_layers,iris,20,40,0.2390721435509305,0.787024827917238
training_exchange_layers,iris,20,60,0.1837765116679509,0.7293426744344413
training_exchange_layers,iris,20,80,0.0787497289688933,0.7026497992263951
training_exchange_layers,iris,20,100,0.0552320979032672,0.5656016591870742
training_exchange_layers,iris,40,20,0.0758320372971382,1.1640150849791209
training_exchange_layers,iris,40,40,0.0625456321300417,0.7512889853328937
training_exchange_layers,iris,40,60,0.0881334995249002,0.6789508821397315
training_exchange_layers,iris,40,80,0.0600221924978596,0.5372874960493386
training_exchange_layers,iris,40,100,0.0538947484544509,0.7559448076384571
training_exchange_layers,iris,60,20,0.077011554574857,0.6586032182880827
training_exchange_layers,iris,60,40,0.0871373875059347,0.5600641462418895
training_exchange_layers,iris,60,60,0.0999190062420407,0.462828498398458
training_exchange_layers,iris,60,80,0.0506589674741449,0.8754353326498507
training_exchange_layers,iris,60,100,0.048462209053958,0.842177770182512
training_exchange_layers,iris,80,20,0.0863561090995574,0.8692016824011791
training_exchange_layers,iris,80,40,0.0717257505600941,0.8869969721239769
training_exchange_layers,iris,80,60,0.0505181384750352,0.6121649356309679
training_exchange_layers,iris,80,80,0.0513151760633358,0.7229966127561178
training_exchange_layers,iris,80,100,0.0559334420184547,0.6041265674923073
training_exchange_layers,iris,100,20,0.0545176193473605,1.6724048341484707
training_exchange_layers,iris,100,40,0.0489819185911865,0.7354430000237894
training_exchange_layers,iris,100,60,0.0623177829375155,0.7210272930655605
training_exchange_layers,iris,100,80,0.0491165592431663,0.5937233669091159
training_exchange_layers,iris,100,100,0.048281105333281,0.4754564874127534
training_exchange_layers,iris,500,20,0.0503609457525374,1.0120213877039064
training_exchange_layers,iris,500,40,0.0486965188270766,0.8971701856252502
training_exchange_layers,iris,500,60,0.0399844998921184,0.6685125909379485
training_exchange_layers,iris,500,80,0.0386227995706679,0.7980934595593216
training_exchange_layers,iris,500,100,0.0373632917262655,0.5513116357781602
training_exchange_layers,iris,1000,20,0.0468703870954529,0.8341348823803981
training_exchange_layers,iris,1000,40,0.0359155298766592,1.0150245119925636
training_exchange_layers,iris,1000,60,0.0452602754777751,0.7582465730679693
training_exchange_layers,iris,1000,80,0.0399999148225646,0.8399116534800318
training_exchange_layers,iris,1000,100,0.022377595064212,0.5386569375308118
training_exchange_layers_e,iris,20,20,0.1932369865968281,0.9361013723367536
training_exchange_layers_e,iris,20,40,0.1117091110429697,0.6006522710716642
training_exchange_layers_e,iris,20,60,0.0797726353283676,0.7175833484566922
training_exchange_layers_e,iris,20,80,0.0880869783931742,0.6510107948787316
training_exchange_layers_e,iris,20,100,0.0808243160485951,0.6302278313065977
training_exchange_layers_e,iris,40,20,0.0717773448692132,0.7854568630329513
training_exchange_layers_e,iris,40,40,0.0776596746817572,0.5305083000231583
training_exchange_layers_e,iris,40,60,0.1119669833038767,0.5909935468752395
training_exchange_layers_e,iris,40,80,0.0963965466356301,0.4203834299833194
training_exchange_layers_e,iris,40,100,0.0503018447325362,0.5036073504967807
training_exchange_layers_e,iris,60,20,0.1261509504197846,1.1960086908161194
training_exchange_layers_e,iris,60,40,0.05329954520873,0.7930042162869025
training_exchange_layers_e,iris,60,60,0.1116725201820288,0.8437654823771584
training_exchange_layers_e,iris,60,80,0.0516452103118695,0.6488322387740019
training_exchange_layers_e,iris,60,100,0.0542854096315551,0.7337485833558334
training_exchange_layers_e,iris,80,20,0.0609475104781897,0.7414091069445531
training_exchange_layers_e,iris,80,40,0.0521985352533641,3.205723458517177
training_exchange_layers_e,iris,80,60,0.0500116818019256,0.6384180228195526
training_exchange_layers_e,iris,80,80,0.052903100157288,0.9381937178896672
training_exchange_layers_e,iris,80,100,0.0532387343239681,0.4869887582679252
training_exchange_layers_e,iris,100,20,0.0543266822978434,0.7753917632287534
training_exchange_layers_e,iris,100,40,0.0626963210513675,0.5861653934304495
training_exchange_layers_e,iris,100,60,0.0506492206349269,0.4994018741431311
training_exchange_layers_e,iris,100,80,0.0508306837954497,0.6542198329686624
training_exchange_layers_e,iris,100,100,0.0631434934864718,0.7095130581385589
training_exchange_layers_e,iris,500,20,0.0420114703933864,0.8581599995638043
training_exchange_layers_e,iris,500,40,0.0379241846252863,1.596347333970669
training_exchange_layers_e,iris,500,60,0.0404759597068894,0.5415891979557766
training_exchange_layers_e,iris,500,80,0.0400484011521017,0.7966996629623652
training_exchange_layers_e,iris,500,100,0.0319666854699943,0.7059180806364489
training_exchange_layers_e,iris,1000,20,0.0458444214315042,0.7969598342570291
training_exchange_layers_e,iris,1000,40,0.0410429297463845,0.6629807308667462
training_exchange_layers_e,iris,1000,60,0.0296281922613802,0.7221562892233608
training_exchange_layers_e,iris,1000,80,0.0485077891506463,0.685421264137034
training_exchange_layers_e,iris,1000,100,0.028576948339017,0.4992192393485226
no_individual_layers,iris,20,20,0.1959184322790148,0.794325374007394
no_individual_layers,iris,20,40,0.1673719695239713,0.7178181505446607
no_individual_layers,iris,20,60,0.1432412357420002,0.6080280501059278
