training_type,data_name,max_iter,n_particle,exec,score_train,score_test,score_val
exchange_layers,breast,20,20,63.907071599998744,0.05527638190954774,0.008771929824561403,0.05263157894736842
exchange_layers,breast,20,40,110.48856180000075,0.05527638190954774,0.02631578947368421,0.017543859649122806
exchange_layers,breast,20,60,154.03662720000284,0.05025125628140704,0.03508771929824561,0.05263157894736842
exchange_layers,breast,20,80,200.11005069999737,0.06030150753768844,0.008771929824561403,0.05263157894736842
exchange_layers,breast,20,100,244.1799260000007,0.05025125628140704,0.02631578947368421,0.03508771929824561
exchange_layers,breast,40,20,112.82659280000007,0.03768844221105527,0.02631578947368421,0.05263157894736842
exchange_layers,breast,40,40,202.66463870000007,0.635678391959799,0.5701754385964912,0.6842105263157895
exchange_layers,breast,40,60,288.86801689999993,0.04271356783919598,0.03508771929824561,0.05263157894736842
exchange_layers,breast,40,80,381.0481615000026,0.04020100502512563,0.008771929824561403,0.017543859649122806
exchange_layers,breast,40,100,464.32770959999834,0.03768844221105527,0.017543859649122806,0.03508771929824561
exchange_layers,breast,60,20,160.4384992999985,0.04271356783919598,0.0,0.05263157894736842
exchange_layers,breast,60,40,292.08079200000066,0.04522613065326633,0.02631578947368421,0.07017543859649122
exchange_layers,breast,60,60,415.53567730000213,0.02763819095477387,0.017543859649122806,0.05263157894736842
exchange_layers,breast,60,80,550.8718585999995,0.0678391959798995,0.017543859649122806,0.05263157894736842
exchange_layers,breast,60,100,680.5149627999999,0.04020100502512563,0.02631578947368421,0.05263157894736842
exchange_layers,breast,80,20,210.3327567999986,0.03015075376884422,0.017543859649122806,0.05263157894736842
exchange_layers,breast,80,40,385.09217259999787,0.04271356783919598,0.008771929824561403,0.017543859649122806
exchange_layers,breast,80,60,555.904767,0.03768844221105527,0.008771929824561403,0.05263157894736842
exchange_layers,breast,80,80,729.0149076999987,0.04522613065326633,0.008771929824561403,0.07017543859649122
exchange_layers,breast,80,100,897.5252784999975,0.04020100502512563,0.017543859649122806,0.03508771929824561
exchange_layers,breast,100,20,257.6692629999998,0.0678391959798995,0.017543859649122806,0.05263157894736842
exchange_layers,breast,100,40,476.82336660000146,0.07035175879396985,0.008771929824561403,0.07017543859649122
exchange_layers,breast,100,60,687.7016777999997,0.03768844221105527,0.008771929824561403,0.03508771929824561
exchange_layers,breast,100,80,902.6028127999998,0.022613065326633167,0.008771929824561403,0.0
exchange_layers,breast,100,100,1111.6729016999998,0.022613065326633167,0.008771929824561403,0.017543859649122806
exchange_layers,breast,500,20,1225.7128611999979,0.03768844221105527,0.0,0.03508771929824561
exchange_layers,breast,500,40,2311.7813981,0.020100502512562814,0.008771929824561403,0.017543859649122806
exchange_layers,breast,500,60,3346.8373231999976,0.19095477386934673,0.24561403508771928,0.15789473684210525
exchange_layers,breast,500,80,4429.3209269,0.03015075376884422,0.008771929824561403,0.05263157894736842
exchange_layers,breast,500,100,5461.106425399994,0.01256281407035176,0.008771929824561403,0.017543859649122806
exchange_layers,breast,1000,20,2428.965139400003,0.36432160804020103,0.4298245614035088,0.3157894736842105
exchange_layers,breast,1000,40,4602.930349599999,0.017587939698492462,0.008771929824561403,0.03508771929824561
exchange_layers,breast,1000,60,6689.1582585,0.017587939698492462,0.008771929824561403,0.017543859649122806
exchange_layers,breast,1000,80,8823.813102999993,0.002512562814070352,0.0,0.03508771929824561
exchange_layers,breast,1000,100,10923.488508900002,0.0,0.008771929824561403,0.03508771929824561
individual_layers,breast,20,20,67.40210820000357,0.4221105527638191,0.5,0.3333333333333333
individual_layers,breast,20,40,115.78664539999954,0.36432160804020103,0.4298245614035088,0.3157894736842105
individual_layers,breast,20,60,161.14057089999915,0.635678391959799,0.5701754385964912,0.6842105263157895
individual_layers,breast,20,80,208.28683639999872,0.41457286432160806,0.45614035087719296,0.40350877192982454
individual_layers,breast,20,100,253.7432790999992,0.6155778894472361,0.5350877192982456,0.6491228070175439
individual_layers,breast,40,20,117.1147232000003,0.6331658291457286,0.5701754385964912,0.6842105263157895
individual_layers,breast,40,40,209.36377240000002,0.635678391959799,0.5701754385964912,0.6842105263157895
individual_layers,breast,40,60,300.0804710000011,0.635678391959799,0.5701754385964912,0.6842105263157895
individual_layers,breast,40,80,392.34569100000226,0.23869346733668342,0.2894736842105263,0.2807017543859649
individual_layers,breast,40,100,479.5563728999987,0.40954773869346733,0.41228070175438597,0.43859649122807015
