training_type,data_name,max_iter,n_particle,exec,score_train,score_test,score_val
exchange_layers,circle,20,20,13.576341799998772,0.06571428571428571,0.06,0.04
exchange_layers,circle,20,40,14.398772799999279,0.4085714285714286,0.41,0.38
exchange_layers,circle,20,60,15.357758099999046,0.05714285714285714,0.03,0.04
exchange_layers,circle,20,80,16.152704500000254,0.0,0.0,0.0
exchange_layers,circle,20,100,17.065717899997253,0.08571428571428572,0.08,0.02
exchange_layers,circle,40,20,14.543360299998312,0.1457142857142857,0.11,0.08
exchange_layers,circle,40,40,16.324755699999514,0.06285714285714286,0.08,0.14
exchange_layers,circle,40,60,17.977284199998394,0.014285714285714285,0.0,0.02
exchange_layers,circle,40,80,19.67376879999938,0.002857142857142857,0.0,0.0
exchange_layers,circle,40,100,21.328836099997716,0.0,0.0,0.0
exchange_layers,circle,60,20,15.555390699999407,0.03142857142857143,0.02,0.04
exchange_layers,circle,60,40,18.096783799999685,0.0,0.01,0.02
exchange_layers,circle,60,60,20.582411300001695,0.008571428571428572,0.01,0.02
exchange_layers,circle,60,80,23.184530800001085,0.002857142857142857,0.0,0.0
exchange_layers,circle,60,100,25.558436299997993,0.022857142857142857,0.03,0.02
exchange_layers,circle,80,20,17.142822000001615,0.005714285714285714,0.0,0.0
exchange_layers,circle,80,40,20.32517899999948,0.008571428571428572,0.02,0.0
exchange_layers,circle,80,60,23.630343199998606,0.014285714285714285,0.0,0.0
exchange_layers,circle,80,80,27.140023899999505,0.6228571428571429,0.64,0.7
exchange_layers,circle,80,100,33.20313279999755,0.005714285714285714,0.01,0.02
exchange_layers,circle,100,20,18.58202750000055,0.06,0.06,0.04
exchange_layers,circle,100,40,48.90951849999692,0.0,0.02,0.02
exchange_layers,circle,100,60,26.19617890000154,0.014285714285714285,0.01,0.04
exchange_layers,circle,100,80,30.00879360000181,0.005714285714285714,0.0,0.02
exchange_layers,circle,100,100,34.13043109999853,0.0,0.0,0.0
exchange_layers,circle,500,20,38.3068108999978,0.002857142857142857,0.01,0.0
exchange_layers,circle,500,40,58.95394359999773,0.008571428571428572,0.01,0.0
exchange_layers,circle,500,60,78.945395499999,0.6,0.65,0.72
exchange_layers,circle,500,80,98.99975619999896,0.005714285714285714,0.01,0.0
exchange_layers,circle,500,100,119.07044429999951,0.5285714285714286,0.59,0.52
exchange_layers,circle,1000,20,64.03226810000342,0.02,0.01,0.0
exchange_layers,circle,1000,40,105.17921299999944,0.002857142857142857,0.0,0.02
exchange_layers,circle,1000,60,145.2437514000012,0.011428571428571429,0.02,0.0
exchange_layers,circle,1000,80,185.33053360000122,0.014285714285714285,0.01,0.02
exchange_layers,circle,1000,100,227.6293885999985,0.6,0.66,0.54
individual_layers,circle,20,20,15.038410699999076,0.52,0.4,0.56
individual_layers,circle,20,40,16.108958599998005,0.24857142857142858,0.2,0.28
individual_layers,circle,20,60,17.059189600000536,0.62,0.62,0.62
individual_layers,circle,20,80,17.875216399999772,0.5057142857142857,0.49,0.48
individual_layers,circle,20,100,18.94435379999777,0.48,0.55,0.54
individual_layers,circle,40,20,16.18848099999741,0.49714285714285716,0.49,0.54
individual_layers,circle,40,40,17.949715700000525,0.24571428571428572,0.29,0.22
individual_layers,circle,40,60,19.732318500002293,0.6971428571428572,0.64,0.68
individual_layers,circle,40,80,21.525745499999175,0.48857142857142855,0.49,0.6
individual_layers,circle,40,100,23.193205700001272,0.3342857142857143,0.4,0.34
individual_layers,circle,60,20,17.296788799998467,0.5971428571428572,0.61,0.58
individual_layers,circle,60,40,19.946153199998662,0.5314285714285715,0.47,0.38
individual_layers,circle,60,60,22.43917800000054,0.3057142857142857,0.22,0.32
individual_layers,circle,60,80,25.025673299998743,0.36857142857142855,0.38,0.3
individual_layers,circle,60,100,27.5496533000005,0.6342857142857142,0.64,0.68
individual_layers,circle,80,20,18.40621530000135,0.5028571428571429,0.45,0.58
