training_type,data_name,max_iter,n_particle,exec,score_train,score_test,score_val
one_individual_layers,circle,20,20,1.3512983000000531,0.21428571428571427,0.17,0.22
one_individual_layers,circle,20,40,2.4431617000009282,0.15714285714285714,0.19,0.16
one_individual_layers,circle,20,60,3.5496511999990616,0.19714285714285715,0.21,0.12
one_individual_layers,circle,20,80,4.6667048999988765,0.04857142857142857,0.1,0.04
one_individual_layers,circle,20,100,5.753693499998917,0.16285714285714287,0.11,0.12
one_individual_layers,circle,40,20,2.5644628000009106,0.04857142857142857,0.03,0.04
one_individual_layers,circle,40,40,4.687011499998334,0.15714285714285714,0.13,0.22
one_individual_layers,circle,40,60,6.805240600002435,0.07428571428571429,0.03,0.12
one_individual_layers,circle,40,80,8.951056300000346,0.10285714285714286,0.08,0.08
one_individual_layers,circle,40,100,11.033965200000239,0.08,0.11,0.06
one_individual_layers,circle,60,20,3.785470800001349,0.06857142857142857,0.08,0.1
one_individual_layers,circle,60,40,6.928090099998371,0.05714285714285714,0.02,0.0
one_individual_layers,circle,60,60,10.07581289999871,0.037142857142857144,0.02,0.04
one_individual_layers,circle,60,80,13.19419679999919,0.017142857142857144,0.0,0.0
one_individual_layers,circle,60,100,16.471267400000215,0.02,0.0,0.04
one_individual_layers,circle,80,20,5.0624060000009194,0.04285714285714286,0.04,0.04
one_individual_layers,circle,80,40,9.298679399998946,0.02,0.03,0.04
one_individual_layers,circle,80,60,13.330492799999774,0.025714285714285714,0.0,0.0
one_individual_layers,circle,80,80,17.534101299999747,0.02,0.04,0.0
one_individual_layers,circle,80,100,21.681009800002357,0.002857142857142857,0.0,0.0
one_individual_layers,circle,100,20,6.226532700002281,0.04285714285714286,0.02,0.02
one_individual_layers,circle,100,40,11.410060700000031,0.017142857142857144,0.0,0.02
one_individual_layers,circle,100,60,16.620802600002207,0.0,0.01,0.0
one_individual_layers,circle,100,80,21.927379499997187,0.005714285714285714,0.0,0.0
one_individual_layers,circle,100,100,27.134529500002827,0.002857142857142857,0.0,0.0
one_individual_layers,circle,500,20,30.96104330000162,0.002857142857142857,0.01,0.0
one_individual_layers,circle,500,40,56.76626089999991,0.002857142857142857,0.0,0.0
one_individual_layers,circle,500,60,82.68764469999951,0.0,0.01,0.0
one_individual_layers,circle,500,80,108.48498810000092,0.008571428571428572,0.04,0.02
one_individual_layers,circle,500,100,134.02445869999792,0.0,0.0,0.0
one_individual_layers,circle,1000,20,62.28500679999706,0.017142857142857144,0.01,0.0
one_individual_layers,circle,1000,40,113.82001619999937,0.005714285714285714,0.01,0.02
one_individual_layers,circle,1000,60,164.85404859999835,0.0,0.0,0.0
one_individual_layers,circle,1000,80,216.41425239999808,0.0,0.0,0.0
one_individual_layers,circle,1000,100,267.54483830000027,0.0,0.0,0.0
