training_type,data_name,max_iter,n_particle,stdBest
exchange_layers,breast,20,20,0.49903730182623074
exchange_layers,breast,20,40,0.4727886918502082
exchange_layers,breast,20,60,0.5093281402943635
exchange_layers,breast,20,80,0.568348927565562
exchange_layers,breast,20,100,0.46467769900459793
exchange_layers,breast,40,20,0.2869122915234864
exchange_layers,breast,40,40,0.5834318416156958
exchange_layers,breast,40,60,0.3394362658843287
exchange_layers,breast,40,80,0.345999793060485
exchange_layers,breast,40,100,0.3603192625223424
exchange_layers,breast,60,20,0.22334139044488424
exchange_layers,breast,60,40,0.23088666504342792
exchange_layers,breast,60,60,0.24646802614587665
exchange_layers,breast,60,80,0.2613237468073747
exchange_layers,breast,60,100,0.3028779323926086
exchange_layers,breast,80,20,0.2259155363141964
exchange_layers,breast,80,40,0.26900416890108536
exchange_layers,breast,80,60,0.2984518666386301
exchange_layers,breast,80,80,0.31216558364222485
exchange_layers,breast,80,100,0.28893011528901164
exchange_layers,breast,100,20,0.20546398279590244
exchange_layers,breast,100,40,0.22907160986103797
exchange_layers,breast,100,60,0.2047892551521727
exchange_layers,breast,100,80,0.2112899271996681
exchange_layers,breast,100,100,0.23049763736735474
exchange_layers,breast,500,20,0.09202814575963945
exchange_layers,breast,500,40,0.09975827966545067
exchange_layers,breast,500,60,0.13643031409789674
exchange_layers,breast,500,80,0.0888102402574524
exchange_layers,breast,500,100,0.1280749460393819
exchange_layers,breast,1000,20,0.06315348296379149
exchange_layers,breast,1000,40,0.0962720245303669
exchange_layers,breast,1000,60,0.08177291372851093
exchange_layers,breast,1000,80,0.08759447783810723
exchange_layers,breast,1000,100,0.049586343055268135
exchange_layers,circle,20,20,0.04949705176155187
exchange_layers,circle,20,40,0.10782173523104403
exchange_layers,circle,20,60,0.12256698619954226
exchange_layers,circle,20,80,0.16579143202672245
exchange_layers,circle,20,100,0.16415120519283252
exchange_layers,circle,40,20,0.0586508503033578
exchange_layers,circle,40,40,0.08784512280459264
exchange_layers,circle,40,60,0.13574355198760601
exchange_layers,circle,40,80,0.16258163604857684
exchange_layers,circle,40,100,0.1820270962797014
exchange_layers,circle,60,20,0.03950531975207754
exchange_layers,circle,60,40,0.06741208307115004
exchange_layers,circle,60,60,0.07030519303896472
exchange_layers,circle,60,80,0.22409826066527075
exchange_layers,circle,60,100,0.1011205147367508
exchange_layers,circle,80,20,0.13741335331518928
exchange_layers,circle,80,40,0.18398250233861635
exchange_layers,circle,80,60,0.06036118904346796
exchange_layers,circle,80,80,0.03230491690166114
exchange_layers,circle,80,100,0.12182336570763812
exchange_layers,circle,100,20,0.048955646323584456
exchange_layers,circle,100,40,0.11775888863720425
exchange_layers,circle,100,60,0.10499700117546268
exchange_layers,circle,100,80,0.08525432014558507
exchange_layers,circle,100,100,0.09400970878985401
exchange_layers,circle,500,20,0.019597312849784554
exchange_layers,circle,500,40,0.01625285509337292
exchange_layers,circle,500,60,0.015469810688542673
exchange_layers,circle,500,80,0.015094339911930418
exchange_layers,circle,500,100,0.009998531685412546
exchange_layers,circle,1000,20,0.016941789711002405
