training_type,data_name,max_iter,n_particle,stdBest
exchange_layers,breast,20,20,0.4990373018262307
exchange_layers,breast,20,40,0.4727886918502082
exchange_layers,breast,20,60,0.5093281402943635
exchange_layers,breast,20,80,0.568348927565562
exchange_layers,breast,20,100,0.4646776990045979
exchange_layers,breast,40,20,0.2869122915234864
exchange_layers,breast,40,40,0.5834318416156958
exchange_layers,breast,40,60,0.3394362658843287
exchange_layers,breast,40,80,0.345999793060485
exchange_layers,breast,40,100,0.3603192625223424
exchange_layers,breast,60,20,0.2233413904448842
exchange_layers,breast,60,40,0.2308866650434279
exchange_layers,breast,60,60,0.2464680261458766
exchange_layers,breast,60,80,0.2613237468073747
exchange_layers,breast,60,100,0.3028779323926086
exchange_layers,breast,80,20,0.2259155363141964
exchange_layers,breast,80,40,0.2690041689010853
exchange_layers,breast,80,60,0.2984518666386301
exchange_layers,breast,80,80,0.3121655836422248
exchange_layers,breast,80,100,0.2889301152890116
exchange_layers,breast,100,20,0.2054639827959024
exchange_layers,breast,100,40,0.2290716098610379
exchange_layers,breast,100,60,0.2047892551521727
exchange_layers,breast,100,80,0.2112899271996681
exchange_layers,breast,100,100,0.2304976373673547
exchange_layers,breast,500,20,0.0920281457596394
exchange_layers,breast,500,40,0.0997582796654506
exchange_layers,breast,500,60,0.1364303140978967
exchange_layers,breast,500,80,0.0888102402574524
exchange_layers,breast,500,100,0.1280749460393819
exchange_layers,breast,1000,20,0.0631534829637914
exchange_layers,breast,1000,40,0.0962720245303669
exchange_layers,breast,1000,60,0.0817729137285109
exchange_layers,breast,1000,80,0.0875944778381072
exchange_layers,breast,1000,100,0.0495863430552681
individual_layers,breast,20,20,0.3714352004050423
individual_layers,breast,20,40,0.4215604482945423
individual_layers,breast,20,60,0.4769627744810349
individual_layers,breast,20,80,0.4594035941484329
individual_layers,breast,20,100,0.4238869576110849
individual_layers,breast,40,20,0.3015276135406902
individual_layers,breast,40,40,0.2993948364225416
individual_layers,breast,40,60,0.3113517022173715
individual_layers,breast,40,80,0.3508755984015602
individual_layers,breast,40,100,0.3248840858060518
individual_layers,breast,60,20,0.2778846492132515
individual_layers,breast,60,40,0.2296521028911677
individual_layers,breast,60,60,0.2368158260985726
individual_layers,breast,60,80,0.248380584825224
individual_layers,breast,60,100,0.2798725507839632
individual_layers,breast,80,20,0.2231679329165241
individual_layers,breast,80,40,0.1958130992522322
individual_layers,breast,80,60,0.2195585633529447
individual_layers,breast,80,80,0.2230746099141832
individual_layers,breast,80,100,0.1763186555015363
individual_layers,breast,100,20,0.1922256698812886
individual_layers,breast,100,40,0.1932197893665783
individual_layers,breast,100,60,0.1835299765156744
individual_layers,breast,100,80,0.2096675295119895
individual_layers,breast,100,100,0.2304904551147838
individual_layers,breast,500,20,0.0702146422805726
individual_layers,breast,500,40,0.0665726087794081
individual_layers,breast,500,60,0.0711380644045146
individual_layers,breast,500,80,0.0869787653241311
individual_layers,breast,500,100,0.0862669736187712
individual_layers,breast,1000,20,0.0313959249630975
individual_layers,breast,1000,40,0.029884265545352
individual_layers,breast,1000,60,0.0452915430565734
individual_layers,breast,1000,80,0.0613560153496417
individual_layers,breast,1000,100,0.0620124538459297
training_exchange_layers,breast,20,20,0.5122910393837893
training_exchange_layers,breast,20,40,0.3748436551468769
training_exchange_layers,breast,20,60,0.4699037463267072
training_exchange_layers,breast,20,80,0.5198797596107301
training_exchange_layers,breast,20,100,0.4901667556390503
training_exchange_layers,breast,40,20,0.3264382214046113
training_exchange_layers,breast,40,40,0.3801099423037071
training_exchange_layers,breast,40,60,0.3014402657913821
training_exchange_layers,breast,40,80,0.3734166778285676
training_exchange_layers,breast,40,100,0.4123913504004147
training_exchange_layers,breast,60,20,0.2011264165278925
training_exchange_layers,breast,60,40,0.2581240744687768
training_exchange_layers,breast,60,60,0.3059456044752978
training_exchange_layers,breast,60,80,0.2849584047784025
training_exchange_layers,breast,60,100,0.2176052012462939
training_exchange_layers,breast,80,20,0.1859145234560508
training_exchange_layers,breast,80,40,0.1845905932568169
training_exchange_layers,breast,80,60,0.2345074692130882
training_exchange_layers,breast,80,80,0.2407861892263393
training_exchange_layers,breast,80,100,0.2280198758014811
training_exchange_layers,breast,100,20,0.2136492569919524
training_exchange_layers,breast,100,40,0.2277741076400667
training_exchange_layers,breast,100,60,0.226591275837864
training_exchange_layers,breast,100,80,0.2140916548141125
training_exchange_layers,breast,100,100,0.2492678920673818
training_exchange_layers,breast,500,20,0.0827331157786024
training_exchange_layers,breast,500,40,0.0766212756004187
training_exchange_layers,breast,500,60,0.0710918174822227
training_exchange_layers,breast,500,80,0.1009975226490443
training_exchange_layers,breast,500,100,0.0890195599053479
training_exchange_layers,breast,1000,20,0.0535398411553384
training_exchange_layers,breast,1000,40,0.0533684646349228
training_exchange_layers,breast,1000,60,0.0475708791002295
training_exchange_layers,breast,1000,80,0.0761087501489998
training_exchange_layers,breast,1000,100,0.0727623159637784
training_exchange_layers_e,breast,20,20,0.5581900911918064
training_exchange_layers_e,breast,20,40,0.3392811316402368
training_exchange_layers_e,breast,20,60,0.4738613055086
training_exchange_layers_e,breast,20,80,0.8091800830152096
training_exchange_layers_e,breast,20,100,0.4293705761021717
training_exchange_layers_e,breast,40,20,0.3655957038668742
training_exchange_layers_e,breast,40,40,0.4035106018275284
training_exchange_layers_e,breast,40,60,0.4015346569492012
training_exchange_layers_e,breast,40,80,0.3958936288503594
training_exchange_layers_e,breast,40,100,0.3481985243563925
training_exchange_layers_e,breast,60,20,0.2257464062045039
training_exchange_layers_e,breast,60,40,0.1997751647629548
training_exchange_layers_e,breast,60,60,0.2314266522244774
training_exchange_layers_e,breast,60,80,0.2904819838631566
training_exchange_layers_e,breast,60,100,0.2688820654301612
training_exchange_layers_e,breast,80,20,0.234523506757708
