training_type,data_name,max_iter,n_particle,stdBest
exchange_layers,iris,20,20,0.2747399973504476
exchange_layers,iris,20,40,0.2851133794452326
exchange_layers,iris,20,60,0.964330610615012
exchange_layers,iris,20,80,0.4540745538112731
exchange_layers,iris,20,100,0.2972309819148874
exchange_layers,iris,40,20,0.1982320659396458
exchange_layers,iris,40,40,0.1176577921833063
exchange_layers,iris,40,60,0.1308838412462617
exchange_layers,iris,40,80,0.1844803388414223
exchange_layers,iris,40,100,0.2161583889245548
exchange_layers,iris,60,20,0.306029730944978
exchange_layers,iris,60,40,0.2643212598728758
exchange_layers,iris,60,60,0.0938598312865488
exchange_layers,iris,60,80,0.3753589233096916
exchange_layers,iris,60,100,0.2956156079481128
exchange_layers,iris,80,20,0.0873381227037021
exchange_layers,iris,80,40,0.0960479173087012
exchange_layers,iris,80,60,0.0997338117237563
exchange_layers,iris,80,80,0.1709745493875253
exchange_layers,iris,80,100,0.0969330648407031
exchange_layers,iris,100,20,0.0812407398416968
exchange_layers,iris,100,40,0.057513004557324
exchange_layers,iris,100,60,0.1112040638372767
exchange_layers,iris,100,80,0.1026789704737563
exchange_layers,iris,100,100,0.0916151303496225
exchange_layers,iris,500,20,0.0342711749486231
exchange_layers,iris,500,40,0.0289713987821195
exchange_layers,iris,500,60,0.0519052411125575
exchange_layers,iris,500,80,0.0141991564162002
exchange_layers,iris,500,100,0.023918499137335
exchange_layers,iris,1000,20,0.0066439322714521
exchange_layers,iris,1000,40,0.0144306379078123
exchange_layers,iris,1000,60,0.0085395523955824
exchange_layers,iris,1000,80,0.0083512160641405
exchange_layers,iris,1000,100,0.0117876407452584
individual_layers,iris,20,20,0.1981431613354272
individual_layers,iris,20,40,0.2400415822885499
individual_layers,iris,20,60,0.2208579753610792
individual_layers,iris,20,80,0.2035301931551233
individual_layers,iris,20,100,0.1992858176613473
individual_layers,iris,40,20,0.1556071618259341
individual_layers,iris,40,40,0.1789241293164112
individual_layers,iris,40,60,0.1734233334437882
individual_layers,iris,40,80,0.2374124221932243
individual_layers,iris,40,100,0.1871009493937166
individual_layers,iris,60,20,0.1043614395809364
individual_layers,iris,60,40,0.1253244448691682
individual_layers,iris,60,60,0.1267794450786739
individual_layers,iris,60,80,0.1554562921594181
individual_layers,iris,60,100,0.1745336946430419
individual_layers,iris,80,20,0.0683080424307278
individual_layers,iris,80,40,0.1051768859245412
individual_layers,iris,80,60,0.1140039000392054
individual_layers,iris,80,80,0.111419788912788
individual_layers,iris,80,100,0.1475050742509815
individual_layers,iris,100,20,0.1008890938639718
individual_layers,iris,100,40,0.0947109153809711
individual_layers,iris,100,60,0.0973585061384502
individual_layers,iris,100,80,0.1059698106733143
individual_layers,iris,100,100,0.0980457392864768
individual_layers,iris,500,20,0.0115877000746507
individual_layers,iris,500,40,0.022137782924228
individual_layers,iris,500,60,0.0187330209749982
individual_layers,iris,500,80,0.023565455757982
individual_layers,iris,500,100,0.024367700016844
individual_layers,iris,1000,20,0.012631744992363
individual_layers,iris,1000,40,0.0081500081623284
individual_layers,iris,1000,60,0.0116997019911541
individual_layers,iris,1000,80,0.0153335277016318
individual_layers,iris,1000,100,0.0156275087470652
training_exchange_layers,iris,20,20,0.2094481726260731
training_exchange_layers,iris,20,40,0.3077409682578796
training_exchange_layers,iris,20,60,0.2380692567617286
training_exchange_layers,iris,20,80,0.3600364940046303
training_exchange_layers,iris,20,100,0.364720393387189
training_exchange_layers,iris,40,20,0.1754991949630033
training_exchange_layers,iris,40,40,0.2733074346586963
training_exchange_layers,iris,40,60,0.2088460462744154
training_exchange_layers,iris,40,80,0.334239668812531
training_exchange_layers,iris,40,100,0.2606792326929082
training_exchange_layers,iris,60,20,0.0995243969439918
training_exchange_layers,iris,60,40,0.1568214605515877
training_exchange_layers,iris,60,60,0.1983095090976198
training_exchange_layers,iris,60,80,0.2398167396997831
training_exchange_layers,iris,60,100,0.2400650192347865
training_exchange_layers,iris,80,20,0.1143503689899418
training_exchange_layers,iris,80,40,0.1575530154813558
training_exchange_layers,iris,80,60,0.2155819618176032
training_exchange_layers,iris,80,80,0.1766326256454877
training_exchange_layers,iris,80,100,0.1297551334714942
training_exchange_layers,iris,100,20,0.0936311916174708
training_exchange_layers,iris,100,40,0.1020481094764813
training_exchange_layers,iris,100,60,0.1570708915596786
training_exchange_layers,iris,100,80,0.1226499151112598
training_exchange_layers,iris,100,100,0.100992904043484
training_exchange_layers,iris,500,20,0.0146277208434103
training_exchange_layers,iris,500,40,0.0209156898056345
training_exchange_layers,iris,500,60,0.0263765153086887
training_exchange_layers,iris,500,80,0.0822196149009535
training_exchange_layers,iris,500,100,0.022871650246487
training_exchange_layers,iris,1000,20,0.0287964459635859
training_exchange_layers,iris,1000,40,0.0130817267294857
training_exchange_layers,iris,1000,60,0.007407638304594
training_exchange_layers,iris,1000,80,0.0136370657469841
training_exchange_layers,iris,1000,100,0.0209756105206424
training_exchange_layers_e,iris,20,20,0.5357697875133646
training_exchange_layers_e,iris,20,40,0.1643645962423817
training_exchange_layers_e,iris,20,60,0.4109232465056009
training_exchange_layers_e,iris,20,80,0.4787023283132802
training_exchange_layers_e,iris,20,100,0.2982146767767123
training_exchange_layers_e,iris,40,20,0.191505603000843
training_exchange_layers_e,iris,40,40,0.2601434835850918
training_exchange_layers_e,iris,40,60,0.2722419969196851
training_exchange_layers_e,iris,40,80,0.2618794530361141
training_exchange_layers_e,iris,40,100,0.2485430918635747
training_exchange_layers_e,iris,60,20,0.286762218002157
training_exchange_layers_e,iris,60,40,0.409149902846506
training_exchange_layers_e,iris,60,60,0.2533633158832927
training_exchange_layers_e,iris,60,80,0.2936188333745321
training_exchange_layers_e,iris,60,100,0.3551672894041282
training_exchange_layers_e,iris,80,20,0.1002917231577756
training_exchange_layers_e,iris,80,40,0.4744547560221909
training_exchange_layers_e,iris,80,60,0.20656097532016
training_exchange_layers_e,iris,80,80,0.4143371679774072
training_exchange_layers_e,iris,80,100,0.514709893895
training_exchange_layers_e,iris,100,20,0.0714895829074192
training_exchange_layers_e,iris,100,40,0.1166290060532964
training_exchange_layers_e,iris,100,60,0.2607480101306021
training_exchange_layers_e,iris,100,80,0.2340966607935318
training_exchange_layers_e,iris,100,100,0.2063491757366654
training_exchange_layers_e,iris,500,20,0.0399710109036704
training_exchange_layers_e,iris,500,40,0.0448101663405559
training_exchange_layers_e,iris,500,60,0.0351297666191047
training_exchange_layers_e,iris,500,80,0.0213506139678253
training_exchange_layers_e,iris,500,100,0.0278993725832286
training_exchange_layers_e,iris,1000,20,0.0231564718202069
training_exchange_layers_e,iris,1000,40,0.0127671004249369
training_exchange_layers_e,iris,1000,60,0.0474733060126063
training_exchange_layers_e,iris,1000,80,0.008493503638811
training_exchange_layers_e,iris,1000,100,0.0108741436546715
no_individual_layers,iris,20,20,0.2068546882779166
no_individual_layers,iris,20,40,0.2401055651084045
no_individual_layers,iris,20,60,0.2181466959065352
no_individual_layers,iris,20,80,0.2483625405185111
no_individual_layers,iris,20,100,0.2974026394401153
no_individual_layers,iris,40,20,0.1524556970690248
no_individual_layers,iris,40,40,0.1728333894969281
no_individual_layers,iris,40,60,0.1293697339949927
no_individual_layers,iris,40,80,0.1901863515974407
no_individual_layers,iris,40,100,0.1906840573284644
no_individual_layers,iris,60,20,0.091858835604797
no_individual_layers,iris,60,40,0.1317376236592694
no_individual_layers,iris,60,60,0.129799914973944
no_individual_layers,iris,60,80,0.1440147371262594
no_individual_layers,iris,60,100,0.1316975137733982
no_individual_layers,iris,80,20,0.0906812297393986
no_individual_layers,iris,80,40,0.0955716519827521
no_individual_layers,iris,80,60,0.0963858290921664
no_individual_layers,iris,80,80,0.1020618803293465
no_individual_layers,iris,80,100,0.1159315744978825
no_individual_layers,iris,100,20,0.0643362925550829
no_individual_layers,iris,100,40,0.0966565153766824
no_individual_layers,iris,100,60,0.0958527545318356
no_individual_layers,iris,100,80,0.0896376302578319
no_individual_layers,iris,100,100,0.1258139000727383
no_individual_layers,iris,500,20,0.0179293181788162
no_individual_layers,iris,500,40,0.0245909172733581
no_individual_layers,iris,500,60,0.0214812303745811
no_individual_layers,iris,500,80,0.0453364232564439
no_individual_layers,iris,500,100,0.0269675243953299
no_individual_layers,iris,1000,20,0.0077641876983032
no_individual_layers,iris,1000,40,0.0116353568567743
no_individual_layers,iris,1000,60,0.0134821351266699
no_individual_layers,iris,1000,80,0.0149881837112139
no_individual_layers,iris,1000,100,0.0105430737508279
no_exchange_layers,iris,20,20,0.5333064821469813
no_exchange_layers,iris,20,40,1.4914622649100568
no_exchange_layers,iris,20,60,0.2994707384440902
no_exchange_layers,iris,20,80,0.2488458835213179
no_exchange_layers,iris,20,100,0.2974899061387824
no_exchange_layers,iris,40,20,0.2219263949565766
no_exchange_layers,iris,40,40,0.1699750876822048
no_exchange_layers,iris,40,60,0.1875399722951509
no_exchange_layers,iris,40,80,0.4766319424305984
no_exchange_layers,iris,40,100,0.2826939506491562
no_exchange_layers,iris,60,20,0.2194335762560813
no_exchange_layers,iris,60,40,0.1095391477500044
no_exchange_layers,iris,60,60,0.1577969182573544
no_exchange_layers,iris,60,80,0.1093570418219253
no_exchange_layers,iris,60,100,0.1565447654279157
no_exchange_layers,iris,80,20,0.1991227496826075
no_exchange_layers,iris,80,40,0.1080522593247998
no_exchange_layers,iris,80,60,0.1510738953668025
no_exchange_layers,iris,80,80,0.1946438502417492
no_exchange_layers,iris,80,100,0.0886671299795928
no_exchange_layers,iris,100,20,0.0675983344085291
no_exchange_layers,iris,100,40,0.2896892746377836
no_exchange_layers,iris,100,60,0.0889127873976845
no_exchange_layers,iris,100,80,0.2096888557529085
no_exchange_layers,iris,100,100,0.2022376765807132
no_exchange_layers,iris,500,20,0.0234788661549696
no_exchange_layers,iris,500,40,0.0215977764971769
no_exchange_layers,iris,500,60,0.0251846632421034
no_exchange_layers,iris,500,80,0.0905160279924558
no_exchange_layers,iris,500,100,0.0169500620185384
no_exchange_layers,iris,1000,20,0.0159534479759048
no_exchange_layers,iris,1000,40,0.0168045180077676
no_exchange_layers,iris,1000,60,0.0189073149714206
no_exchange_layers,iris,1000,80,0.008908466304252
no_exchange_layers,iris,1000,100,0.0114097084004527
