training_type,data_name,max_iter,n_particle,stdBest
exchange_layers,wine,20,20,0.5357132091203523
exchange_layers,wine,20,40,0.6281487293580993
exchange_layers,wine,20,60,0.5030257216164739
exchange_layers,wine,20,80,0.5644960541826975
exchange_layers,wine,20,100,0.6159596906200177
exchange_layers,wine,40,20,0.4686062353248239
exchange_layers,wine,40,40,0.4163430375316603
exchange_layers,wine,40,60,0.4812338510745649
exchange_layers,wine,40,80,0.5519988737248346
exchange_layers,wine,40,100,0.4290497378691861
exchange_layers,wine,60,20,0.5936471136836535
exchange_layers,wine,60,40,0.3716639879903032
exchange_layers,wine,60,60,0.7121064639555442
exchange_layers,wine,60,80,0.3186072325795623
exchange_layers,wine,60,100,0.3513747977651064
exchange_layers,wine,80,20,0.3279128657914391
exchange_layers,wine,80,40,0.3077845207854051
exchange_layers,wine,80,60,0.340945122120127
exchange_layers,wine,80,80,0.4185306786763835
exchange_layers,wine,80,100,0.2838546130954675
exchange_layers,wine,100,20,0.3033047482127412
exchange_layers,wine,100,40,0.2621914053648158
exchange_layers,wine,100,60,0.3347034874509031
exchange_layers,wine,100,80,0.2815176462932153
exchange_layers,wine,100,100,0.3159252351830964
exchange_layers,wine,500,20,0.0531791636136991
exchange_layers,wine,500,40,0.0645386625795326
exchange_layers,wine,500,60,0.0650215854288233
exchange_layers,wine,500,80,0.0788489169434088
exchange_layers,wine,500,100,0.0957935896556494
exchange_layers,wine,1000,20,0.0533449557423179
exchange_layers,wine,1000,40,0.0298927575501684
exchange_layers,wine,1000,60,0.0379862302378596
exchange_layers,wine,1000,80,0.0568087498822451
exchange_layers,wine,1000,100,0.061304257344955
individual_layers,wine,20,20,0.5047124090832068
individual_layers,wine,20,40,0.599579319214482
individual_layers,wine,20,60,0.54723986618354
individual_layers,wine,20,80,0.5564317976863712
individual_layers,wine,20,100,0.5065316398293321
individual_layers,wine,40,20,0.387461102574037
individual_layers,wine,40,40,0.4586253193020472
individual_layers,wine,40,60,0.4347179912706218
individual_layers,wine,40,80,0.3471497859755489
individual_layers,wine,40,100,0.4121472980235455
individual_layers,wine,60,20,0.3015300876435468
individual_layers,wine,60,40,0.319205185430311
individual_layers,wine,60,60,0.2902021055424361
individual_layers,wine,60,80,0.3494495299188581
individual_layers,wine,60,100,0.3733627876761594
individual_layers,wine,80,20,0.338264524935093
individual_layers,wine,80,40,0.3274607644760754
individual_layers,wine,80,60,0.3634841330846187
individual_layers,wine,80,80,0.362067018559302
individual_layers,wine,80,100,0.3565411873093819
individual_layers,wine,100,20,0.281344723674497
individual_layers,wine,100,40,0.305992028143848
individual_layers,wine,100,60,0.2491606586713866
individual_layers,wine,100,80,0.2367549618921642
individual_layers,wine,100,100,0.3335392338643288
individual_layers,wine,500,20,0.073520626308125
individual_layers,wine,500,40,0.0877221893577497
individual_layers,wine,500,60,0.0747750090727889
individual_layers,wine,500,80,0.0990751375320883
individual_layers,wine,500,100,0.1150926526274144
individual_layers,wine,1000,20,0.0439043401447638
individual_layers,wine,1000,40,0.0405757581816731
individual_layers,wine,1000,60,0.0307820864432023
individual_layers,wine,1000,80,0.0438204479833962
individual_layers,wine,1000,100,0.0424387647748896
training_exchange_layers,wine,20,20,0.4324254395779165
training_exchange_layers,wine,20,40,0.4206608180220431
training_exchange_layers,wine,20,60,0.5745733859278294
training_exchange_layers,wine,20,80,0.4898691334318229
training_exchange_layers,wine,20,100,0.5337298842007053
training_exchange_layers,wine,40,20,0.3220754697403771
training_exchange_layers,wine,40,40,0.4065356180321288
training_exchange_layers,wine,40,60,0.5221377825515335
training_exchange_layers,wine,40,80,0.5334658156296439
training_exchange_layers,wine,40,100,0.3803783635175221
training_exchange_layers,wine,60,20,0.2845277039254277
training_exchange_layers,wine,60,40,0.3786516159899558
training_exchange_layers,wine,60,60,0.3846826452385014
training_exchange_layers,wine,60,80,0.3643567926583497
training_exchange_layers,wine,60,100,0.3201162179074792
training_exchange_layers,wine,80,20,0.3670617021561672
training_exchange_layers,wine,80,40,0.2888580204086295
training_exchange_layers,wine,80,60,0.2969358981250257
training_exchange_layers,wine,80,80,0.3328375870959251
training_exchange_layers,wine,80,100,0.365121679096386
training_exchange_layers,wine,100,20,0.2437634647786781
training_exchange_layers,wine,100,40,0.2465233380974193
training_exchange_layers,wine,100,60,0.2241229573206054
training_exchange_layers,wine,100,80,0.3200510894855903
training_exchange_layers,wine,100,100,0.2925677197951087
training_exchange_layers,wine,500,20,0.0628354566448211
training_exchange_layers,wine,500,40,0.0903877871986269
training_exchange_layers,wine,500,60,0.1012338145146676
training_exchange_layers,wine,500,80,0.0810107675447576
training_exchange_layers,wine,500,100,0.123968841085481
training_exchange_layers,wine,1000,20,0.0331498514534374
training_exchange_layers,wine,1000,40,0.0628204299665769
training_exchange_layers,wine,1000,60,0.0253548481877186
training_exchange_layers,wine,1000,80,0.0354077183191191
training_exchange_layers,wine,1000,100,0.0440960214880615
training_exchange_layers_e,wine,20,20,0.5862558755744194
training_exchange_layers_e,wine,20,40,0.4304592727747555
training_exchange_layers_e,wine,20,60,0.510529423679492
training_exchange_layers_e,wine,20,80,0.4922698886470261
training_exchange_layers_e,wine,20,100,0.5167511681972253
training_exchange_layers_e,wine,40,20,0.5662449611200647
training_exchange_layers_e,wine,40,40,0.5045386699164957
training_exchange_layers_e,wine,40,60,0.6013248880708597
training_exchange_layers_e,wine,40,80,0.5150893676799525
training_exchange_layers_e,wine,40,100,0.6623119986316934
training_exchange_layers_e,wine,60,20,0.3757194877911872
training_exchange_layers_e,wine,60,40,0.417584267288535
training_exchange_layers_e,wine,60,60,0.5516547170983043
training_exchange_layers_e,wine,60,80,0.3690497265140066
training_exchange_layers_e,wine,60,100,0.5612832538117308
training_exchange_layers_e,wine,80,20,0.3496068928218773
training_exchange_layers_e,wine,80,40,0.3461436090858468
training_exchange_layers_e,wine,80,60,0.2778828064784751
training_exchange_layers_e,wine,80,80,0.5288692540879643
training_exchange_layers_e,wine,80,100,0.3331964411948638
training_exchange_layers_e,wine,100,20,0.4411545583257723
training_exchange_layers_e,wine,100,40,0.3559232841413413
training_exchange_layers_e,wine,100,60,0.3554265281601957
training_exchange_layers_e,wine,100,80,0.3794614297730056
training_exchange_layers_e,wine,100,100,0.1936278041750821
training_exchange_layers_e,wine,500,20,0.0736373034144709
training_exchange_layers_e,wine,500,40,0.1248462254873428
training_exchange_layers_e,wine,500,60,0.0953509277605434
training_exchange_layers_e,wine,500,80,0.1378669047514298
training_exchange_layers_e,wine,500,100,0.0680081918494476
training_exchange_layers_e,wine,1000,20,0.0309229600545573
training_exchange_layers_e,wine,1000,40,0.0839992072274867
training_exchange_layers_e,wine,1000,60,0.0345308508156631
