training_type,data_name,max_iter,n_particle,avg_exe
exchange_layers,breast,20,20,4.256718473333361
exchange_layers,breast,20,40,7.362333999999828
exchange_layers,breast,20,60,10.265620179999436
exchange_layers,breast,20,80,13.337074886667205
exchange_layers,breast,20,100,16.275020166666945
exchange_layers,breast,40,20,7.518024820000816
exchange_layers,breast,40,40,13.507260926666156
exchange_layers,breast,40,60,19.254121986666966
exchange_layers,breast,40,80,25.39962202666672
exchange_layers,breast,40,100,30.951879179999864
exchange_layers,breast,60,20,10.692291666666764
exchange_layers,breast,60,40,19.46842069333313
exchange_layers,breast,60,60,27.69868273999988
exchange_layers,breast,60,80,36.72103478666686
exchange_layers,breast,60,100,45.36399090666722
exchange_layers,breast,80,20,14.018643800000184
exchange_layers,breast,80,40,25.669057859999885
exchange_layers,breast,80,60,37.05650721333344
exchange_layers,breast,80,80,48.59727054666655
exchange_layers,breast,80,100,59.83133166666618
exchange_layers,breast,100,20,17.17408825333308
exchange_layers,breast,100,40,31.78431195333275
exchange_layers,breast,100,60,45.84302189999968
exchange_layers,breast,100,80,60.16970086000001
exchange_layers,breast,100,100,74.10765329999995
exchange_layers,breast,500,20,81.70986493333307
exchange_layers,breast,500,40,154.1145204599995
exchange_layers,breast,500,60,223.1181301533332
exchange_layers,breast,500,80,295.2838876399983
exchange_layers,breast,500,100,364.0695511866671
exchange_layers,breast,1000,20,161.9269798466664
exchange_layers,breast,1000,40,306.85783522666657
exchange_layers,breast,1000,60,445.93980464666623
exchange_layers,breast,1000,80,588.2501992333326
exchange_layers,breast,1000,100,728.2284195200007
individual_layers,breast,20,20,4.489919580000181
individual_layers,breast,20,40,7.7158607999995485
individual_layers,breast,20,60,10.73936408666632
individual_layers,breast,20,80,13.882431979999575
individual_layers,breast,20,100,16.912781313333106
individual_layers,breast,40,20,7.8040177133327235
individual_layers,breast,40,40,13.954055093333832
individual_layers,breast,40,60,20.00196135999989
individual_layers,breast,40,80,26.152821860000163
individual_layers,breast,40,100,31.96710580000096
individual_layers,breast,60,20,11.317543726666432
individual_layers,breast,60,40,20.396893620000142
individual_layers,breast,60,60,29.14349308666618
individual_layers,breast,60,80,38.32118056666659
individual_layers,breast,60,100,47.07544612666704
individual_layers,breast,80,20,14.48850399999986
individual_layers,breast,80,40,26.714356126666583
individual_layers,breast,80,60,38.33059764666735
individual_layers,breast,80,80,50.56645798666723
individual_layers,breast,80,100,62.00918237333341
individual_layers,breast,100,20,17.764344333333913
individual_layers,breast,100,40,32.86055312666722
individual_layers,breast,100,60,47.50781314666674
individual_layers,breast,100,80,62.61753700666644
individual_layers,breast,100,100,77.0319458400006
individual_layers,breast,500,20,84.5948293066671
individual_layers,breast,500,40,159.49903034666494
individual_layers,breast,500,60,231.50360796666743
individual_layers,breast,500,80,307.7116038999991
individual_layers,breast,500,100,381.8670481533331
individual_layers,breast,1000,20,164.58500358666691
individual_layers,breast,1000,40,315.58509128000054
individual_layers,breast,1000,60,450.3059505799989
individual_layers,breast,1000,80,593.8661387266659
individual_layers,breast,1000,100,733.1586730266688
training_exchange_layers,breast,20,20,4.877271153333398
training_exchange_layers,breast,20,40,8.359399253333262
training_exchange_layers,breast,20,60,11.855262313333272
training_exchange_layers,breast,20,80,15.43979276000003
training_exchange_layers,breast,20,100,19.110351926666716
training_exchange_layers,breast,40,20,9.414273060000111
training_exchange_layers,breast,40,40,16.165936879999876
training_exchange_layers,breast,40,60,23.09682917333327
training_exchange_layers,breast,40,80,29.885798159999958
training_exchange_layers,breast,40,100,36.23888109333341
training_exchange_layers,breast,60,20,13.758990006666805
training_exchange_layers,breast,60,40,25.4266963866666
training_exchange_layers,breast,60,60,34.18223100666668
training_exchange_layers,breast,60,80,44.26143321333372
training_exchange_layers,breast,60,100,54.72098351999993
training_exchange_layers,breast,80,20,18.491390639999977
training_exchange_layers,breast,80,40,31.822885613333348
training_exchange_layers,breast,80,60,45.23595641999988
training_exchange_layers,breast,80,80,58.72351495999974
training_exchange_layers,breast,80,100,73.06233525333337
training_exchange_layers,breast,100,20,23.618436139999904
training_exchange_layers,breast,100,40,40.62551942666675
training_exchange_layers,breast,100,60,57.00568897999971
training_exchange_layers,breast,100,80,76.71469061333337
training_exchange_layers,breast,100,100,90.22645563999988
training_exchange_layers,breast,500,20,114.805194966667
training_exchange_layers,breast,500,40,195.7849690866671
training_exchange_layers,breast,500,60,280.30024862000016
training_exchange_layers,breast,500,80,360.4670365200002
training_exchange_layers,breast,500,100,442.1862239866668
training_exchange_layers,breast,1000,20,229.71912819333332
training_exchange_layers,breast,1000,40,390.9066384400001
training_exchange_layers,breast,1000,60,550.0681736266667
training_exchange_layers,breast,1000,80,710.400914026667
training_exchange_layers,breast,1000,100,872.3499931266667
training_exchange_layers_e,breast,20,20,5.003326980000002
training_exchange_layers_e,breast,20,40,8.907388526666667
training_exchange_layers_e,breast,20,60,12.303141806666668
training_exchange_layers_e,breast,20,80,15.82965144000002
training_exchange_layers_e,breast,20,100,19.207152893333365
training_exchange_layers_e,breast,40,20,9.636454520000022
training_exchange_layers_e,breast,40,40,16.512412720000004
training_exchange_layers_e,breast,40,60,23.47040464
training_exchange_layers_e,breast,40,80,30.430886513333327
training_exchange_layers_e,breast,40,100,37.33442837999998
training_exchange_layers_e,breast,60,20,14.289488820000042
training_exchange_layers_e,breast,60,40,24.43856635333338
training_exchange_layers_e,breast,60,60,34.76073489333324
training_exchange_layers_e,breast,60,80,44.88108249333327
training_exchange_layers_e,breast,60,100,55.292663706666765
training_exchange_layers_e,breast,80,20,18.658317273333346
training_exchange_layers_e,breast,80,40,32.268477260000026
training_exchange_layers_e,breast,80,60,45.31709791999983
training_exchange_layers_e,breast,80,80,60.77974709333327
training_exchange_layers_e,breast,80,100,72.96064587333301
training_exchange_layers_e,breast,100,20,23.2825432533334
training_exchange_layers_e,breast,100,40,40.29866225333317
training_exchange_layers_e,breast,100,60,57.06304385333327
training_exchange_layers_e,breast,100,80,74.13249530000017
training_exchange_layers_e,breast,100,100,90.89060759999992
training_exchange_layers_e,breast,500,20,115.10736389333348
training_exchange_layers_e,breast,500,40,199.42564195999967
training_exchange_layers_e,breast,500,60,281.71543918000026
training_exchange_layers_e,breast,500,80,366.6598746466671
training_exchange_layers_e,breast,500,100,448.90757856000033
training_exchange_layers_e,breast,1000,20,234.2265311933341
training_exchange_layers_e,breast,1000,40,397.2479099333332
training_exchange_layers_e,breast,1000,60,559.9312180133333
training_exchange_layers_e,breast,1000,80,722.865010533334
training_exchange_layers_e,breast,1000,100,882.8717311600002
no_individual_layers,breast,20,20,3.793039593333136
no_individual_layers,breast,20,40,6.983622866665973
no_individual_layers,breast,20,60,10.218909806666243
no_individual_layers,breast,20,80,13.524974606667092
no_individual_layers,breast,20,100,16.755731766666578
no_individual_layers,breast,40,20,6.948712593333282
no_individual_layers,breast,40,40,13.395350526666638
no_individual_layers,breast,40,60,19.979278000000097
no_individual_layers,breast,40,80,26.298439620000376
no_individual_layers,breast,40,100,32.61967052000012
no_individual_layers,breast,60,20,10.468956373333157
no_individual_layers,breast,60,40,20.227316860000187
no_individual_layers,breast,60,60,29.6506009933335
no_individual_layers,breast,60,80,38.80506673999941
no_individual_layers,breast,60,100,48.37738283333383
no_individual_layers,breast,80,20,13.8452467733332
no_individual_layers,breast,80,40,26.836745366666584
no_individual_layers,breast,80,60,39.10537246000046
no_individual_layers,breast,80,80,51.733331786667016
no_individual_layers,breast,80,100,64.16805919333274
no_individual_layers,breast,100,20,17.352713859999735
no_individual_layers,breast,100,40,33.28543854666738
no_individual_layers,breast,100,60,48.163245366667006
no_individual_layers,breast,100,80,64.17113620000067
no_individual_layers,breast,100,100,80.27127045333376
no_individual_layers,breast,500,20,86.46426407333274
no_individual_layers,breast,500,40,165.60335570000098
no_individual_layers,breast,500,60,240.08014449999948
no_individual_layers,breast,500,80,317.2014487133337
no_individual_layers,breast,500,100,395.13036603999984
no_individual_layers,breast,1000,20,171.28839157333374
no_individual_layers,breast,1000,40,330.70437547333376
no_individual_layers,breast,1000,60,483.6869458666682
no_individual_layers,breast,1000,80,640.0011614200005
no_individual_layers,breast,1000,100,792.8346915400015
no_exchange_layers,breast,20,20,3.8641872333343295
no_exchange_layers,breast,20,40,7.179684899999362
no_exchange_layers,breast,20,60,10.326057566666714
no_exchange_layers,breast,20,80,13.72340703999968
no_exchange_layers,breast,20,100,17.044832486666564
no_exchange_layers,breast,40,20,7.115786360000008
no_exchange_layers,breast,40,40,13.709383186666187
no_exchange_layers,breast,40,60,20.20221540000057
no_exchange_layers,breast,40,80,27.07736790666604
no_exchange_layers,breast,40,100,33.33450701333349
no_exchange_layers,breast,60,20,10.68516219333372
no_exchange_layers,breast,60,40,20.582524393332765
no_exchange_layers,breast,60,60,30.15640136666625
no_exchange_layers,breast,60,80,39.73143168
no_exchange_layers,breast,60,100,49.38378542666663
no_exchange_layers,breast,80,20,14.450394680000318
no_exchange_layers,breast,80,40,27.51050360000057
no_exchange_layers,breast,80,60,39.94920448666672
no_exchange_layers,breast,80,80,52.83904499333367
no_exchange_layers,breast,80,100,65.48072379333341
no_exchange_layers,breast,100,20,17.38207483333293
no_exchange_layers,breast,100,40,33.55694681333286
no_exchange_layers,breast,100,60,49.60096162000021
no_exchange_layers,breast,100,80,65.6839325066668
no_exchange_layers,breast,100,100,81.29195182666663
no_exchange_layers,breast,500,20,88.23610176666674
no_exchange_layers,breast,500,40,168.2390136733326
no_exchange_layers,breast,500,60,245.9339396866684
no_exchange_layers,breast,500,80,325.87618141999945
no_exchange_layers,breast,500,100,404.88931945333366
no_exchange_layers,breast,1000,20,177.56710280666593
no_exchange_layers,breast,1000,40,338.4164985199997
no_exchange_layers,breast,1000,60,492.42684871333233
no_exchange_layers,breast,1000,80,653.3470904933328
no_exchange_layers,breast,1000,100,807.15195886
one_individual_layers,breast,20,20,3.519300039999992
one_individual_layers,breast,20,40,6.9275081866663335
one_individual_layers,breast,20,60,10.327260226666356
one_individual_layers,breast,20,80,13.576969433333336
one_individual_layers,breast,20,100,16.880877779999718
one_individual_layers,breast,40,20,7.021723279999666
one_individual_layers,breast,40,40,13.58903828000063
one_individual_layers,breast,40,60,19.944428759999816
one_individual_layers,breast,40,80,26.34850307333254
one_individual_layers,breast,40,100,32.69257269999968
one_individual_layers,breast,60,20,10.129046573333229
one_individual_layers,breast,60,40,20.142940600000536
one_individual_layers,breast,60,60,29.518967059999703
one_individual_layers,breast,60,80,39.31070442666654
