training_type,data_name,max_iter,n_particle,avg_exe
exchange_layers,circle,20,20,0.9023564399996152
exchange_layers,circle,20,40,0.9575870466658672
exchange_layers,circle,20,60,1.0215271733335003
exchange_layers,circle,20,80,1.0744049200004762
exchange_layers,circle,20,100,1.1354299533331262
exchange_layers,circle,40,20,0.9670353066668516
exchange_layers,circle,40,40,1.085949273333002
exchange_layers,circle,40,60,1.1959734066668413
exchange_layers,circle,40,80,1.3091316399998807
exchange_layers,circle,40,100,1.419562906666882
exchange_layers,circle,60,20,1.0346852800008493
exchange_layers,circle,60,40,1.2041017533335738
exchange_layers,circle,60,60,1.3698099399996864
exchange_layers,circle,60,80,1.5431785333329269
exchange_layers,circle,60,100,1.7014271333331028
exchange_layers,circle,80,20,1.1402042866669944
exchange_layers,circle,80,40,1.3525274133343677
exchange_layers,circle,80,60,1.5730565533330567
exchange_layers,circle,80,80,1.8068211666664864
exchange_layers,circle,80,100,2.001205706666224
exchange_layers,circle,100,20,1.185670180000064
exchange_layers,circle,100,40,1.4583578066672394
exchange_layers,circle,100,60,1.7441844599995724
exchange_layers,circle,100,80,1.9982843466663325
exchange_layers,circle,100,100,2.273092080000303
exchange_layers,circle,500,20,2.5511731266664963
exchange_layers,circle,500,40,3.927721006666737
exchange_layers,circle,500,60,5.26038859333324
exchange_layers,circle,500,80,6.597315773333199
exchange_layers,circle,500,100,7.935358979999486
exchange_layers,circle,1000,20,4.2660782666661055
exchange_layers,circle,1000,40,7.009200300000035
exchange_layers,circle,1000,60,9.680235446666485
exchange_layers,circle,1000,80,12.352546439999909
exchange_layers,circle,1000,100,15.172568366666626
individual_layers,circle,20,20,0.9997653533333504
individual_layers,circle,20,40,1.0714879400002246
individual_layers,circle,20,60,1.135047106666995
individual_layers,circle,20,80,1.1894764599999084
individual_layers,circle,20,100,1.2604548733337044
individual_layers,circle,40,20,1.0769077666666511
individual_layers,circle,40,40,1.1942293133336837
individual_layers,circle,40,60,1.31313233333276
individual_layers,circle,40,80,1.4324745399998695
individual_layers,circle,40,100,1.5434595533333777
individual_layers,circle,60,20,1.150428760000068
individual_layers,circle,60,40,1.3257615866665826
individual_layers,circle,60,60,1.4932101733335004
individual_layers,circle,60,80,1.665799033333072
individual_layers,circle,60,100,1.8339405466669023
individual_layers,circle,80,20,1.2242570933330474
individual_layers,circle,80,40,1.451832566666902
individual_layers,circle,80,60,1.6712488066669418
individual_layers,circle,80,80,1.8943502600008888
individual_layers,circle,80,100,2.128410959999504
individual_layers,circle,100,20,1.2952799266667474
individual_layers,circle,100,40,1.582560053333388
individual_layers,circle,100,60,1.8564435199996905
individual_layers,circle,100,80,2.141696466666326
individual_layers,circle,100,100,2.4137909133336506
individual_layers,circle,500,20,2.682589719999912
individual_layers,circle,500,40,4.1064492466663065
individual_layers,circle,500,60,5.464060126666542
individual_layers,circle,500,80,6.81270680000016
individual_layers,circle,500,100,8.18424779333315
individual_layers,circle,1000,20,4.430830019999606
individual_layers,circle,1000,40,7.236125746666463
individual_layers,circle,1000,60,9.962330313333222
individual_layers,circle,1000,80,12.644346086666337
individual_layers,circle,1000,100,15.372726899999783
training_exchange_layers,circle,20,20,0.2096484333333289
training_exchange_layers,circle,20,40,0.361780226666671
training_exchange_layers,circle,20,60,0.5069411466666603
training_exchange_layers,circle,20,80,0.6635784266666709
training_exchange_layers,circle,20,100,0.8227211933333592
training_exchange_layers,circle,40,20,0.3742926533333351
training_exchange_layers,circle,40,40,0.6794327000000067
training_exchange_layers,circle,40,60,0.9938806333333332
training_exchange_layers,circle,40,80,1.3041022333333028
training_exchange_layers,circle,40,100,1.5756782666666596
training_exchange_layers,circle,60,20,0.5519021066666709
training_exchange_layers,circle,60,40,0.9981419133333248
training_exchange_layers,circle,60,60,1.4548773800000012
training_exchange_layers,circle,60,80,1.924228266666652
training_exchange_layers,circle,60,100,2.348049499999987
training_exchange_layers,circle,80,20,0.7456754333333265
training_exchange_layers,circle,80,40,1.3366081266666696
training_exchange_layers,circle,80,60,1.932950853333356
training_exchange_layers,circle,80,80,2.552061493333349
training_exchange_layers,circle,80,100,3.138948639999989
training_exchange_layers,circle,100,20,0.9500026066666426
training_exchange_layers,circle,100,40,1.69289451333334
training_exchange_layers,circle,100,60,2.435644053333317
training_exchange_layers,circle,100,80,3.1855929533333134
training_exchange_layers,circle,100,100,3.924935673333296
training_exchange_layers,circle,500,20,5.488990806666697
training_exchange_layers,circle,500,40,9.149372686666643
training_exchange_layers,circle,500,60,12.838158960000024
training_exchange_layers,circle,500,80,16.579143386666676
training_exchange_layers,circle,500,100,20.307055700000017
training_exchange_layers,circle,1000,20,12.923327439999987
training_exchange_layers,circle,1000,40,20.996727073333297
training_exchange_layers,circle,1000,60,29.32369624666668
training_exchange_layers,circle,1000,80,35.31986844
training_exchange_layers,circle,1000,100,43.19094432666658
training_exchange_layers_e,circle,20,20,0.1969260666662497
training_exchange_layers_e,circle,20,40,0.3594073199994455
training_exchange_layers_e,circle,20,60,0.5199708666664568
training_exchange_layers_e,circle,20,80,0.6802100466668587
training_exchange_layers_e,circle,20,100,0.8352010733333979
training_exchange_layers_e,circle,40,20,0.3793267866669339
training_exchange_layers_e,circle,40,40,0.689430520000072
training_exchange_layers_e,circle,40,60,1.000524773333018
training_exchange_layers_e,circle,40,80,1.306188913333608
training_exchange_layers_e,circle,40,100,1.618256780000229
training_exchange_layers_e,circle,60,20,0.5641910266662308
training_exchange_layers_e,circle,60,40,1.041375380000439
training_exchange_layers_e,circle,60,60,1.4837240933331486
training_exchange_layers_e,circle,60,80,1.948716300000039
training_exchange_layers_e,circle,60,100,2.39797548666708
training_exchange_layers_e,circle,80,20,0.7581721733333932
training_exchange_layers_e,circle,80,40,1.379979360000046
training_exchange_layers_e,circle,80,60,1.9789534799999575
training_exchange_layers_e,circle,80,80,2.5954802666664665
training_exchange_layers_e,circle,80,100,3.1919599600005317
training_exchange_layers_e,circle,100,20,0.9507297533329012
training_exchange_layers_e,circle,100,40,1.717839266667094
training_exchange_layers_e,circle,100,60,2.481367626666421
training_exchange_layers_e,circle,100,80,3.2319100466658712
training_exchange_layers_e,circle,100,100,3.9713565666662665
training_exchange_layers_e,circle,500,20,5.526097480000317
training_exchange_layers_e,circle,500,40,9.282454586666429
training_exchange_layers_e,circle,500,60,13.118467086666351
training_exchange_layers_e,circle,500,80,16.84557892666756
training_exchange_layers_e,circle,500,100,20.484474733332657
training_exchange_layers_e,circle,1000,20,13.271435873333637
training_exchange_layers_e,circle,1000,40,20.712841200000064
training_exchange_layers_e,circle,1000,60,28.366908433333688
training_exchange_layers_e,circle,1000,80,35.69695688000041
training_exchange_layers_e,circle,1000,100,43.017377206666666
no_individual_layers,circle,20,20,0.1339475266664521
no_individual_layers,circle,20,40,0.2402940399995713
no_individual_layers,circle,20,60,0.3469726933338582
no_individual_layers,circle,20,80,0.4517232533335724
no_individual_layers,circle,20,100,0.5559121400001459
no_individual_layers,circle,40,20,0.2561855399993267
no_individual_layers,circle,40,40,0.4602652133330897
no_individual_layers,circle,40,60,0.6629682066661189
no_individual_layers,circle,40,80,0.8675885399995119
no_individual_layers,circle,40,100,1.0698045000002214
no_individual_layers,circle,60,20,0.3789240533330788
no_individual_layers,circle,60,40,0.6807666799996999
no_individual_layers,circle,60,60,0.9962930000001506
no_individual_layers,circle,60,80,1.2870416933331097
no_individual_layers,circle,60,100,1.5986609466660109
no_individual_layers,circle,80,20,0.5084914666661159
no_individual_layers,circle,80,40,0.9088476600004166
no_individual_layers,circle,80,60,1.3090822866666714
no_individual_layers,circle,80,80,1.7169187600001654
no_individual_layers,circle,80,100,2.116082513332852
no_individual_layers,circle,100,20,0.6325956800001828
no_individual_layers,circle,100,40,1.1337790866661333
no_individual_layers,circle,100,60,1.6283931466675616
no_individual_layers,circle,100,80,2.1319699466662616
no_individual_layers,circle,100,100,2.650428479999876
no_individual_layers,circle,500,20,3.122579079999317
no_individual_layers,circle,500,40,5.622246679999565
no_individual_layers,circle,500,60,8.08502117999936
no_individual_layers,circle,500,80,10.46906809999952
no_individual_layers,circle,500,100,12.937109593334268
no_individual_layers,circle,1000,20,6.256805993333304
no_individual_layers,circle,1000,40,11.103871373333822
no_individual_layers,circle,1000,60,16.046174613333765
no_individual_layers,circle,1000,80,20.945396773333293
no_individual_layers,circle,1000,100,25.77727576666681
no_exchange_layers,circle,20,20,0.1378281466670159
no_exchange_layers,circle,20,40,0.2484173133333873
no_exchange_layers,circle,20,60,0.3582926600004915
no_exchange_layers,circle,20,80,0.4744618999999754
no_exchange_layers,circle,20,100,0.5882515333335808
no_exchange_layers,circle,40,20,0.2677580466673437
no_exchange_layers,circle,40,40,0.4752673399998457
no_exchange_layers,circle,40,60,0.6867504133328718
no_exchange_layers,circle,40,80,0.899898520000473
no_exchange_layers,circle,40,100,1.1111826466668089
no_exchange_layers,circle,60,20,0.3906885333330138
no_exchange_layers,circle,60,40,0.7083752333339361
no_exchange_layers,circle,60,60,1.0165643866661411
no_exchange_layers,circle,60,80,1.3312774399998792
no_exchange_layers,circle,60,100,1.6617161866663082
no_exchange_layers,circle,80,20,0.5219985266662358
no_exchange_layers,circle,80,40,0.9401534400002372
no_exchange_layers,circle,80,60,1.3553961733341566
no_exchange_layers,circle,80,80,1.7740772933335394
no_exchange_layers,circle,80,100,2.1931596466665115
no_exchange_layers,circle,100,20,0.6675068200008051
no_exchange_layers,circle,100,40,1.1702022133332015
no_exchange_layers,circle,100,60,1.6956397999999655
no_exchange_layers,circle,100,80,2.21638031333326
no_exchange_layers,circle,100,100,2.737927113332989
no_exchange_layers,circle,500,20,3.2456219933323154
no_exchange_layers,circle,500,40,5.896983513333301
no_exchange_layers,circle,500,60,8.385119300000223
no_exchange_layers,circle,500,80,10.933094153333514
no_exchange_layers,circle,500,100,13.475763633332342
no_exchange_layers,circle,1000,20,6.456510826666393
no_exchange_layers,circle,1000,40,11.567321566666456
no_exchange_layers,circle,1000,60,16.643360126666327
no_exchange_layers,circle,1000,80,21.77587344000009
no_exchange_layers,circle,1000,100,26.91593534666681
one_individual_layers,circle,20,20,0.0883771933329019
one_individual_layers,circle,20,40,0.1611584200002349
one_individual_layers,circle,20,60,0.2346405400002064
one_individual_layers,circle,20,80,0.3094055666668282
one_individual_layers,circle,20,100,0.3816933999997369
one_individual_layers,circle,40,20,0.1692089999999249
one_individual_layers,circle,40,40,0.3107504733333674
one_individual_layers,circle,40,60,0.4519103399999343
one_individual_layers,circle,40,80,0.5950610933333034
one_individual_layers,circle,40,100,0.7338284066669681
one_individual_layers,circle,60,20,0.2505544599996938
one_individual_layers,circle,60,40,0.4599221266667882
one_individual_layers,circle,60,60,0.6696921599992492
one_individual_layers,circle,60,80,0.8778162666666807
one_individual_layers,circle,60,100,1.0963280666670472
one_individual_layers,circle,80,20,0.3356214600001597
one_individual_layers,circle,80,40,0.6180584399997315
one_individual_layers,circle,80,60,0.8869195199998406
one_individual_layers,circle,80,80,1.1671928000000966
one_individual_layers,circle,80,100,1.4436853666668563
one_individual_layers,circle,100,20,0.4133116200001192
one_individual_layers,circle,100,40,0.758923426666297
one_individual_layers,circle,100,60,1.1062588199994934
one_individual_layers,circle,100,80,1.460073740000371
one_individual_layers,circle,100,100,1.80729852000004
one_individual_layers,circle,500,20,2.0620320400000005
one_individual_layers,circle,500,40,3.782324693333309
one_individual_layers,circle,500,60,5.510734306666564
one_individual_layers,circle,500,80,7.23053753333273
one_individual_layers,circle,500,100,8.93317027999971
one_individual_layers,circle,1000,20,4.150366053333467
one_individual_layers,circle,1000,40,7.586124393334225
one_individual_layers,circle,1000,60,10.988354913333024
one_individual_layers,circle,1000,80,14.425782139999502
one_individual_layers,circle,1000,100,17.83422542666643
