training_type,data_name,max_iter,n_particle,avg_exe
exchange_layers,iris,20,20,0.9330873333333026
exchange_layers,iris,20,40,1.0298636866666735
exchange_layers,iris,20,60,1.1139225199999905
exchange_layers,iris,20,80,1.2062972066666893
exchange_layers,iris,20,100,1.295943973333336
exchange_layers,iris,40,20,1.03120742000004
exchange_layers,iris,40,40,1.208981739999975
exchange_layers,iris,40,60,1.376877799999996
exchange_layers,iris,40,80,1.5472526933332726
exchange_layers,iris,40,100,1.7250916533333718
exchange_layers,iris,60,20,1.1363074266666142
exchange_layers,iris,60,40,1.39423741999996
exchange_layers,iris,60,60,1.6390764533333215
exchange_layers,iris,60,80,1.8961573066667063
exchange_layers,iris,60,100,2.1383139666666464
exchange_layers,iris,80,20,1.2318654466666883
exchange_layers,iris,80,40,1.559923140000016
exchange_layers,iris,80,60,1.8858981933333172
exchange_layers,iris,80,80,2.222659966666621
exchange_layers,iris,80,100,2.546535566666686
exchange_layers,iris,100,20,1.3222878133333629
exchange_layers,iris,100,40,1.7352174733332808
exchange_layers,iris,100,60,2.150775446666588
exchange_layers,iris,100,80,2.5586740600000364
exchange_layers,iris,100,100,2.966936786666672
exchange_layers,iris,500,20,3.2584301199999874
exchange_layers,iris,500,40,5.28409472000006
exchange_layers,iris,500,60,7.304664606666635
exchange_layers,iris,500,80,9.376137799999984
exchange_layers,iris,500,100,11.425043819999974
exchange_layers,iris,1000,20,5.806224799999987
exchange_layers,iris,1000,40,9.773502280000049
exchange_layers,iris,1000,60,13.819268026666728
exchange_layers,iris,1000,80,17.870291986666597
exchange_layers,iris,1000,100,21.937063859999945
individual_layers,iris,20,20,1.0387961333333806
individual_layers,iris,20,40,1.1365640533336168
individual_layers,iris,20,60,1.204942499999864
individual_layers,iris,20,80,1.318380326666617
individual_layers,iris,20,100,1.4243959466666032
individual_layers,iris,40,20,1.1289065266664693
individual_layers,iris,40,40,1.3366703666665367
individual_layers,iris,40,60,1.5143572733333712
individual_layers,iris,40,80,1.6652469599999071
individual_layers,iris,40,100,1.8393559133335655
individual_layers,iris,60,20,1.2509175866667648
individual_layers,iris,60,40,1.495104019999902
individual_layers,iris,60,60,1.7624394666669103
individual_layers,iris,60,80,2.008779106666407
individual_layers,iris,60,100,2.2529030933333463
individual_layers,iris,80,20,1.331246153333268
individual_layers,iris,80,40,1.6740307200002766
individual_layers,iris,80,60,1.9992206999998112
individual_layers,iris,80,80,2.3354490399997303
individual_layers,iris,80,100,2.675804466667008
individual_layers,iris,100,20,1.42168243999998
individual_layers,iris,100,40,1.839655219999986
individual_layers,iris,100,60,2.289809573333575
individual_layers,iris,100,80,2.7697149466666207
individual_layers,iris,100,100,3.291365440000057
individual_layers,iris,500,20,3.639709360000173
individual_layers,iris,500,40,5.786610526666361
individual_layers,iris,500,60,7.902487979999811
individual_layers,iris,500,80,9.959242026666834
individual_layers,iris,500,100,12.153237079999965
individual_layers,iris,1000,20,6.365026086666694
individual_layers,iris,1000,40,10.420357606666585
individual_layers,iris,1000,60,14.76057530666682
individual_layers,iris,1000,80,18.88882237999969
individual_layers,iris,1000,100,23.270226179999856
training_exchange_layers,iris,20,20,0.2355211733334727
training_exchange_layers,iris,20,40,0.3949105133332826
training_exchange_layers,iris,20,60,0.5727229133333215
training_exchange_layers,iris,20,80,0.750601893333563
training_exchange_layers,iris,20,100,0.92311099999982
training_exchange_layers,iris,40,20,0.4153078600000299
training_exchange_layers,iris,40,40,0.757597599999887
training_exchange_layers,iris,40,60,1.0994742200000474
training_exchange_layers,iris,40,80,1.443084786666562
training_exchange_layers,iris,40,100,1.7879612600000352
