training_type,data_name,max_iter,n_particle,avg_exe
exchange_layers,wine,20,20,1.4314280999999631
exchange_layers,wine,20,40,2.014574306666691
exchange_layers,wine,20,60,2.6174649666668
exchange_layers,wine,20,80,3.1853771733332907
exchange_layers,wine,20,100,3.770032700000047
exchange_layers,wine,40,20,1.9925695799999932
exchange_layers,wine,40,40,3.110311693333036
exchange_layers,wine,40,60,4.257925619999999
exchange_layers,wine,40,80,5.395939446666611
exchange_layers,wine,40,100,6.50064513999993
exchange_layers,wine,60,20,2.567035233333263
exchange_layers,wine,60,40,4.229793339999924
exchange_layers,wine,60,60,5.916155700000005
exchange_layers,wine,60,80,7.581861746666618
exchange_layers,wine,60,100,9.242905366666797
exchange_layers,wine,80,20,3.1240834866666165
exchange_layers,wine,80,40,5.355283893333398
exchange_layers,wine,80,60,7.567389326666671
exchange_layers,wine,80,80,9.772040946666795
exchange_layers,wine,80,100,11.987612520000038
exchange_layers,wine,100,20,3.6883121400002583
exchange_layers,wine,100,40,6.43756247333331
exchange_layers,wine,100,60,9.215607719999996
exchange_layers,wine,100,80,12.024737600000057
exchange_layers,wine,100,100,14.717838766666622
exchange_layers,wine,500,20,15.30419971333328
exchange_layers,wine,500,40,28.84901053333342
exchange_layers,wine,500,60,42.38772571999998
exchange_layers,wine,500,80,55.94639026666664
exchange_layers,wine,500,100,69.65857334666653
exchange_layers,wine,1000,20,29.397938273333175
exchange_layers,wine,1000,40,56.653561786666856
exchange_layers,wine,1000,60,83.65180059999996
exchange_layers,wine,1000,80,110.91138303333318
exchange_layers,wine,1000,100,138.09396886000007
individual_layers,wine,20,20,1.5843563266663598
individual_layers,wine,20,40,2.213143826666661
individual_layers,wine,20,60,2.873822013333241
individual_layers,wine,20,80,3.430629313333581
individual_layers,wine,20,100,4.005477460000475
individual_layers,wine,40,20,2.216143013333567
individual_layers,wine,40,40,3.397191480000038
individual_layers,wine,40,60,4.589135160000054
individual_layers,wine,40,80,5.8122579000000165
individual_layers,wine,40,100,6.977754126666574
individual_layers,wine,60,20,2.838645346666817
individual_layers,wine,60,40,4.540396220000185
individual_layers,wine,60,60,6.3787290999999335
individual_layers,wine,60,80,8.143921706667122
individual_layers,wine,60,100,9.900597679999798
individual_layers,wine,80,20,3.4625638400001963
individual_layers,wine,80,40,5.789216493333273
individual_layers,wine,80,60,8.140273746666814
individual_layers,wine,80,80,10.447014946666604
individual_layers,wine,80,100,12.783565973333197
individual_layers,wine,100,20,4.079952379999546
individual_layers,wine,100,40,6.96686655999935
individual_layers,wine,100,60,9.900961626666565
individual_layers,wine,100,80,12.811110380000052
individual_layers,wine,100,100,15.668449413333535
individual_layers,wine,500,20,16.452986733333333
individual_layers,wine,500,40,30.22316098666609
individual_layers,wine,500,60,44.446236773333176
individual_layers,wine,500,80,58.4996691399996
individual_layers,wine,500,100,72.27402270000044
individual_layers,wine,1000,20,30.93878916000055
individual_layers,wine,1000,40,58.98069749333299
individual_layers,wine,1000,60,87.14164040666631
individual_layers,wine,1000,80,115.55883098666575
individual_layers,wine,1000,100,143.44452897333397
training_exchange_layers,wine,20,20,0.8144049866662196
training_exchange_layers,wine,20,40,1.5609077133330478
training_exchange_layers,wine,20,60,2.332377513333268
training_exchange_layers,wine,20,80,3.09493627999982
training_exchange_layers,wine,20,100,3.8365778533333166
training_exchange_layers,wine,40,20,1.577427093333487
training_exchange_layers,wine,40,40,3.052464513333568
training_exchange_layers,wine,40,60,4.52410285333317
training_exchange_layers,wine,40,80,5.993649966666756
training_exchange_layers,wine,40,100,7.476509779999954
training_exchange_layers,wine,60,20,2.3477779399998933
training_exchange_layers,wine,60,40,4.549264226666613
training_exchange_layers,wine,60,60,6.760311966666632
training_exchange_layers,wine,60,80,8.936416366666284
training_exchange_layers,wine,60,100,11.104890560000422
training_exchange_layers,wine,80,20,3.130417006666782
training_exchange_layers,wine,80,40,6.024065033333075
training_exchange_layers,wine,80,60,8.975792293333628
training_exchange_layers,wine,80,80,11.95087164000021
training_exchange_layers,wine,80,100,14.95958489333328
training_exchange_layers,wine,100,20,3.995986399999917
training_exchange_layers,wine,100,40,7.664219686666911
training_exchange_layers,wine,100,60,11.394958546666748
training_exchange_layers,wine,100,80,15.017851340000195
training_exchange_layers,wine,100,100,18.732349313333057
training_exchange_layers,wine,500,20,20.626854446666886
training_exchange_layers,wine,500,40,38.70920386000022
training_exchange_layers,wine,500,60,56.592238686666434
training_exchange_layers,wine,500,80,74.67527670000054
training_exchange_layers,wine,500,100,93.23943551999984
training_exchange_layers,wine,1000,20,42.9592959600006
training_exchange_layers,wine,1000,40,78.15514962666639
training_exchange_layers,wine,1000,60,113.87254623999956
training_exchange_layers,wine,1000,80,149.61704412666634
training_exchange_layers,wine,1000,100,185.1068407066661
training_exchange_layers_e,wine,20,20,0.8289271333336122
training_exchange_layers_e,wine,20,40,1.581954473333705
training_exchange_layers_e,wine,20,60,2.3511129266667314
training_exchange_layers_e,wine,20,80,3.136923613333177
training_exchange_layers_e,wine,20,100,3.8830304066666335
training_exchange_layers_e,wine,40,20,1.6025930133331712
training_exchange_layers_e,wine,40,40,3.0897005866668525
training_exchange_layers_e,wine,40,60,4.556083919999704
training_exchange_layers_e,wine,40,80,6.042487880000166
training_exchange_layers_e,wine,40,100,7.537103980000029
training_exchange_layers_e,wine,60,20,2.379343746666564
training_exchange_layers_e,wine,60,40,4.577974353333412
training_exchange_layers_e,wine,60,60,6.78036226000028
training_exchange_layers_e,wine,60,80,8.988280440000016
training_exchange_layers_e,wine,60,100,11.206325206666587
training_exchange_layers_e,wine,80,20,3.1703451866663577
training_exchange_layers_e,wine,80,40,6.083219793333168
training_exchange_layers_e,wine,80,60,9.016448046666603
training_exchange_layers_e,wine,80,80,11.935611526666616
training_exchange_layers_e,wine,80,100,14.877974473333234
training_exchange_layers_e,wine,100,20,3.948920726666741
training_exchange_layers_e,wine,100,40,7.567057893333549
training_exchange_layers_e,wine,100,60,11.224063540000136
training_exchange_layers_e,wine,100,80,14.837477073333746
training_exchange_layers_e,wine,100,100,18.443323200000304
training_exchange_layers_e,wine,500,20,20.4801527399999
training_exchange_layers_e,wine,500,40,38.23197398666659
training_exchange_layers_e,wine,500,60,56.57306448000018
training_exchange_layers_e,wine,500,80,74.47041613333337
training_exchange_layers_e,wine,500,100,92.627151826667
training_exchange_layers_e,wine,1000,20,43.59037863333264
training_exchange_layers_e,wine,1000,40,79.09498106666724
training_exchange_layers_e,wine,1000,60,114.6548204600001
training_exchange_layers_e,wine,1000,80,151.11613276666685
training_exchange_layers_e,wine,1000,100,186.89736031333305
no_individual_layers,wine,20,20,0.7710226333333594
no_individual_layers,wine,20,40,1.4937499400000585
no_individual_layers,wine,20,60,2.2253372400000444
no_individual_layers,wine,20,80,2.949804566666656
no_individual_layers,wine,20,100,3.690842706666596
no_individual_layers,wine,40,20,1.4893244799999592
no_individual_layers,wine,40,40,2.9018783066666702
no_individual_layers,wine,40,60,4.3224853733333175
no_individual_layers,wine,40,80,5.733869726666732
no_individual_layers,wine,40,100,7.14165171333334
no_individual_layers,wine,60,20,2.204034340000059
no_individual_layers,wine,60,40,4.2953323599999145
no_individual_layers,wine,60,60,6.4127757866667405
no_individual_layers,wine,60,80,8.520989019999979
no_individual_layers,wine,60,100,10.607347213333378
no_individual_layers,wine,80,20,2.9218198600000203
no_individual_layers,wine,80,40,5.7134702466665965
no_individual_layers,wine,80,60,8.497717513333374
no_individual_layers,wine,80,80,11.275325573333369
no_individual_layers,wine,80,100,14.063867126666628
no_individual_layers,wine,100,20,3.645392873333367
no_individual_layers,wine,100,40,7.108965586666394
no_individual_layers,wine,100,60,10.65464126666672
no_individual_layers,wine,100,80,14.134425893333294
no_individual_layers,wine,100,100,17.52670421333314
no_individual_layers,wine,500,20,18.17661604000017
no_individual_layers,wine,500,40,35.25026346666649
no_individual_layers,wine,500,60,52.89644223333332
no_individual_layers,wine,500,80,69.74617880666665
no_individual_layers,wine,500,100,86.70556488666674
no_individual_layers,wine,1000,20,36.4970765933335
no_individual_layers,wine,1000,40,70.61395409999993
no_individual_layers,wine,1000,60,104.94488564666668
no_individual_layers,wine,1000,80,139.09737930666657
no_individual_layers,wine,1000,100,173.21253338000048
no_exchange_layers,wine,20,20,0.7822116733332526
no_exchange_layers,wine,20,40,1.538496573333365
no_exchange_layers,wine,20,60,2.2804317799999505
no_exchange_layers,wine,20,80,3.0263238533333605
no_exchange_layers,wine,20,100,3.781217620000007
no_exchange_layers,wine,40,20,1.5171623400000802
no_exchange_layers,wine,40,40,2.965567413333308
no_exchange_layers,wine,40,60,4.419935546666663
no_exchange_layers,wine,40,80,5.861524713333195
no_exchange_layers,wine,40,100,7.310522440000053
no_exchange_layers,wine,60,20,2.2462020533334
no_exchange_layers,wine,60,40,4.405643393333169
no_exchange_layers,wine,60,60,6.551089033333119
no_exchange_layers,wine,60,80,8.685093293333255
no_exchange_layers,wine,60,100,10.837455399999936
no_exchange_layers,wine,80,20,2.981763560000036
no_exchange_layers,wine,80,40,5.825622646666488
no_exchange_layers,wine,80,60,8.687486446666542
no_exchange_layers,wine,80,80,11.54944688000002
no_exchange_layers,wine,80,100,14.383296233333386
no_exchange_layers,wine,100,20,3.7224331466666634
no_exchange_layers,wine,100,40,7.268305299999944
no_exchange_layers,wine,100,60,10.887325193333403
no_exchange_layers,wine,100,80,14.47673970666662
no_exchange_layers,wine,100,100,17.970072113333238
no_exchange_layers,wine,500,20,18.583164820000093
no_exchange_layers,wine,500,40,36.05167347333324
no_exchange_layers,wine,500,60,54.3138266199999
no_exchange_layers,wine,500,80,71.35813872666658
no_exchange_layers,wine,500,100,89.059224226667
no_exchange_layers,wine,1000,20,37.36258261333363
no_exchange_layers,wine,1000,40,72.37414210666648
no_exchange_layers,wine,1000,60,107.64324828666648
no_exchange_layers,wine,1000,80,142.83093032666645
no_exchange_layers,wine,1000,100,178.10732457333313
one_individual_layers,wine,20,20,0.7682662866666761
one_individual_layers,wine,20,40,1.5114462400000472
one_individual_layers,wine,20,60,2.2619067866667137
one_individual_layers,wine,20,80,3.022351479999968
one_individual_layers,wine,20,100,3.749318220000047
one_individual_layers,wine,40,20,1.4962070133333023
one_individual_layers,wine,40,40,2.9560903999999937
one_individual_layers,wine,40,60,4.390787673333277
one_individual_layers,wine,40,80,5.8720643933332815
one_individual_layers,wine,40,100,7.293219879999954
one_individual_layers,wine,60,20,2.2183753999999984
one_individual_layers,wine,60,40,4.386381733333352
one_individual_layers,wine,60,60,6.533678446666787
one_individual_layers,wine,60,80,8.682886833333335
one_individual_layers,wine,60,100,10.889068413333431
one_individual_layers,wine,80,20,2.9642122399999304
one_individual_layers,wine,80,40,5.821026173333242
one_individual_layers,wine,80,60,8.71822395333323
one_individual_layers,wine,80,80,11.479956466666712
one_individual_layers,wine,80,100,14.31278040666645
one_individual_layers,wine,100,20,3.651207766666812
one_individual_layers,wine,100,40,7.193059666666644
one_individual_layers,wine,100,60,10.736728186666612
one_individual_layers,wine,100,80,14.290427160000036
one_individual_layers,wine,100,100,17.82373902666665
one_individual_layers,wine,500,20,18.147106000000047
one_individual_layers,wine,500,40,35.635084240000104
one_individual_layers,wine,500,60,53.51025347333344
one_individual_layers,wine,500,80,71.42090333333344
one_individual_layers,wine,500,100,88.33933031333315
one_individual_layers,wine,1000,20,36.38726344000049
one_individual_layers,wine,1000,40,71.32522768666628
one_individual_layers,wine,1000,60,106.38044575333346
one_individual_layers,wine,1000,80,141.3454163066668
one_individual_layers,wine,1000,100,176.43394071999973
