Layer,Duration (seconds)
total_output,1.0858611999974528
total_hidden,6.370620099998632
total_training_0,7.191306299999269
total_output,1.1852126000012504
total_hidden,6.542112999999517
total_training_1,7.3712001999992935
total_output,1.1553791999976966
total_hidden,6.503116799998679
total_training_2,7.32445480000024
total_output,1.18742199999906
total_hidden,6.416211300002033
total_training_3,7.252271999997902
total_output,1.1002875000012864
total_hidden,6.376597800001036
total_training_4,7.203860000001441
total_output,1.037042299998575
total_hidden,6.385116499997821
total_training_5,7.2008925000009185
total_output,1.21511670000109
total_hidden,7.424283699998341
total_training_6,8.238194999998086
total_output,1.0544711999973515
total_hidden,6.954182800000126
total_training_7,7.809920299998339
total_output,1.1836473000003025
total_hidden,6.473878599997988
total_training_8,7.298126800000318
total_output,1.1009851999988314
total_hidden,6.439499700001761
total_training_9,7.256338800001686
total_output,1.1039774999990186
total_hidden,6.400632199998654
total_training_10,7.2273120999998355
total_output,1.0972879999972065
total_hidden,6.362583699999959
total_training_11,7.210690100000647
total_output,1.0706661000003805
total_hidden,6.41181030000007
total_training_12,7.239445200000773
total_output,1.0990913000023284
total_hidden,6.410222099999373
total_training_13,7.232289799998398
total_output,1.049295600001642
total_hidden,6.541641900003015
total_training_14,7.378706100000272
20_40_execution_time,110.48856180000075
