Layer,Duration (seconds)
total_output,0.1394235999978264
total_hidden,0.13612979999743402
total_training_0,0.960130500003288
total_output,0.1480477000004612
total_hidden,0.14432989999841084
total_training_1,0.974858999998105
total_output,0.13159919999816339
total_hidden,0.1402023000009649
total_training_2,0.9619657999974152
total_output,0.14306479999868316
total_hidden,0.13941260000137845
total_training_3,0.9468364999993355
total_output,0.12985269999990123
total_hidden,0.13942250000036438
total_training_4,0.9650843999988865
total_output,0.13177100000029895
total_hidden,0.13657530000273255
total_training_5,0.9504449000014574
total_output,0.13569710000228952
total_hidden,0.14871359999960987
total_training_6,0.9475921999983257
total_output,0.13032190000012633
total_hidden,0.13496400000076392
total_training_7,0.9425837999988289
total_output,0.14194919999863487
total_hidden,0.13906320000023698
total_training_8,0.9509702999966976
total_output,0.13301599999977043
total_hidden,0.13901919999989332
total_training_9,0.9580915000005916
total_output,0.1312047999999777
total_hidden,0.1486406000003626
total_training_10,0.9673976000012772
total_output,0.13034509999852162
total_hidden,0.14616839999871445
total_training_11,0.965270499997132
total_output,0.13182510000115144
total_hidden,0.13980799999990268
total_training_12,0.947816399999283
total_output,0.13203219999923022
total_hidden,0.1481536999999662
total_training_13,0.9663967999986198
total_output,0.1324272000019846
total_hidden,0.13903239999854122
total_training_14,0.958365499998763
20_40_execution_time,14.398772799999279
