Layer,Duration (seconds)
total_output,15.548108000000866
total_hidden,54.7009139999991
total_training_0,55.50918149999961
total_output,15.703682400000616
total_hidden,55.058005000000776
total_training_1,55.88089420000142
total_output,15.703319099999135
total_hidden,54.831600499999695
total_training_2,55.679335199998604
total_output,15.579395400000067
total_hidden,55.29144129999986
total_training_3,56.111501400000634
total_output,15.73162769999908
total_hidden,55.51393400000052
total_training_4,56.327668700001595
total_output,15.552552499999365
total_hidden,54.76799679999931
total_training_5,55.591153100000156
total_output,15.71134770000026
total_hidden,55.161317600000984
total_training_6,55.97755380000126
total_output,15.683218500000294
total_hidden,55.213896600000226
total_training_7,56.033832499999335
total_output,15.635943499999485
total_hidden,55.00352870000097
total_training_8,55.8323634999997
total_output,15.692862500000047
total_hidden,54.89803970000139
total_training_9,55.739650400000755
total_output,15.632498899998609
total_hidden,54.99016560000018
total_training_10,55.806231999999
total_output,15.732648100000006
total_hidden,55.52286669999921
total_training_11,56.34123509999881
total_output,15.541073699998378
total_hidden,55.30432119999932
total_training_12,56.119631199999276
total_output,15.617662999999084
total_hidden,54.9700223000018
total_training_13,55.78786469999977
total_output,15.632561099999293
total_hidden,55.637393599999996
total_training_14,56.45775669999966
500_80_execution_time,839.2384193999987
