Layer,Duration (seconds)
total_output,2.5483635000000504
total_hidden,8.87081340000077
total_training_0,9.703784399999677
total_output,2.556566500000372
total_hidden,8.908082199999626
total_training_1,9.728228400000262
total_output,2.5492591000001994
total_hidden,8.943623299999672
total_training_2,9.775329799999781
total_output,2.5602530999994997
total_hidden,8.967820799999572
total_training_3,9.783276099999966
total_output,2.5551721000001635
total_hidden,9.002500099999452
total_training_4,9.827959899999769
total_output,2.6075738999998066
total_hidden,9.027414299999691
total_training_5,9.87283650000063
total_output,2.5765647999996872
total_hidden,8.93746849999934
total_training_6,9.75481149999996
total_output,2.5450596000000587
total_hidden,8.91092640000079
total_training_7,9.752631199999996
total_output,2.564166000000114
total_hidden,8.930904299999384
total_training_8,9.761138000000756
total_output,2.5457397999998648
total_hidden,8.973143399999572
total_training_9,9.796517400000084
total_output,2.532202700000198
total_hidden,8.94143080000049
total_training_10,9.770124300000134
total_output,2.5770832999996856
total_hidden,9.024102800000037
total_training_11,9.842554300000302
total_output,2.5698253999998997
total_hidden,8.924358600000232
total_training_12,9.75450020000062
total_output,2.5651606999999785
total_hidden,8.940097299999252
total_training_13,9.759775499999705
total_output,2.5421610000003056
total_hidden,8.876604999999472
total_training_14,9.697146700000303
80_80_execution_time,146.61819260000084
