Layer,Duration (seconds)
total_output,118.17309589999786
total_hidden,730.404655300008
total_training_0,731.280064000006
total_output,116.72834500001045
total_hidden,730.4033167000016
total_training_1,731.2377378000092
total_output,116.61162559999502
total_hidden,731.5319834000111
total_training_2,732.3879661999963
total_output,116.20536529998935
total_hidden,729.705095199999
total_training_3,730.5536974999995
total_output,117.13948559999699
total_hidden,733.6156560999952
total_training_4,735.7961492000031
total_output,115.65745720000996
total_hidden,730.7893077000044
total_training_5,731.667557000008
total_output,116.89285720000044
total_hidden,731.3902271999978
total_training_6,732.2555213000014
total_output,117.59442680000211
total_hidden,732.3280604000029
total_training_7,733.1900209000014
total_output,114.67639970000891
total_hidden,735.0580734999967
total_training_8,735.9199487000005
total_output,115.10143260000041
total_hidden,731.8298058999935
total_training_9,732.7042917000072
total_output,116.33411849998811
total_hidden,736.3833757999964
total_training_10,737.2608939999918
total_output,117.75933650000661
total_hidden,732.4394411999965
total_training_11,733.3450523000065
total_output,115.39333779999288
total_hidden,731.969504800014
total_training_12,732.8331461000053
total_output,117.50356660000398
total_hidden,739.3034921000071
total_training_13,740.1595299999899
total_output,115.86509909998858
total_hidden,725.9440422000043
total_training_14,726.7885187000065
1000_100_execution_time,10997.437744900002
