Layer,Duration (seconds)
total_output,10.900990999998612
total_hidden,11.815125799999805
total_training_0,12.781234599999152
total_output,10.789641100000154
total_hidden,11.689033200000267
total_training_1,12.627298499999597
total_output,10.828424200000882
total_hidden,11.685408599998482
total_training_2,12.631939999999304
total_output,10.973787799997808
total_hidden,11.719902599998022
total_training_3,12.671447799999441
total_output,10.943449300000793
total_hidden,11.721267400000215
total_training_4,12.667941299998347
total_output,10.840225399999326
total_hidden,11.716510700000072
total_training_5,12.655484800001432
total_output,10.849285899999813
total_hidden,11.719598399999086
total_training_6,12.669308799999271
total_output,10.832296299999143
total_hidden,11.65691870000228
total_training_7,12.594142399997509
total_output,10.965531300000293
total_hidden,11.732196900000417
total_training_8,12.68276060000062
total_output,10.823938800000178
total_hidden,11.66794999999911
total_training_9,12.60757029999877
total_output,10.79123350000009
total_hidden,11.681301900000108
total_training_10,12.624606299999868
total_output,10.836691199998313
total_hidden,11.668047499999375
total_training_11,12.608834300001035
total_output,10.820240099998045
total_hidden,11.657323399998859
total_training_12,12.597137400000065
total_output,10.902422999999544
total_hidden,11.689207300001726
total_training_13,12.625898099999176
total_output,10.872503900001902
total_hidden,11.678191099999822
total_training_14,12.61958610000147
1000_80_execution_time,189.71079069999905
