Layer,Duration (seconds)
total_output,6.742810799998551
total_hidden,8.81652749999921
total_training_0,9.764374799999132
total_output,6.842656299999362
total_hidden,8.93355580000025
total_training_1,9.870902399999977
total_output,6.76386310000089
total_hidden,8.880328600000212
total_training_2,9.80131369999981
total_output,7.095590200000515
total_hidden,9.189964099999997
total_training_3,10.17617539999992
total_output,7.1157024999993155
total_hidden,9.261191800000233
total_training_4,10.234319600000163
total_output,7.089653500001077
total_hidden,9.118862499999523
total_training_5,10.080676600000515
total_output,6.8921780999990006
total_hidden,9.045769800000926
total_training_6,9.960105600001043
total_output,7.046514199999365
total_hidden,9.165198400000008
total_training_7,10.141222600001129
total_output,6.990992799999731
total_hidden,9.011018299999705
total_training_8,9.9589016000009
total_output,6.902559699999983
total_hidden,8.959122400001434
total_training_9,9.906479999999647
total_output,6.852377100000012
total_hidden,9.02755629999956
total_training_10,9.971387399999003
total_output,6.869281900000715
total_hidden,8.987242899998819
total_training_11,9.938642099999925
total_output,6.904368899999099
total_hidden,8.978457199998957
total_training_12,9.933728300000439
total_output,6.794480199998361
total_hidden,8.876384600000165
total_training_13,9.82010750000154
total_output,6.815713099998902
total_hidden,8.876033900000039
total_training_14,9.83029279999937
500_80_execution_time,149.43133209999905
