Layer,Duration (seconds)
total_output,5.816317299999355
total_hidden,42.277147899996635
total_training_0,48.093468800001574
total_output,5.727643799997168
total_hidden,42.520491700001
total_training_1,48.248137500002485
total_output,5.684836699998414
total_hidden,42.357062200000655
total_training_2,48.041900799998984
total_output,5.652005899999494
total_hidden,42.50434780000069
total_training_3,48.156355499999336
total_output,5.61044640000182
total_hidden,42.360591399999976
total_training_4,47.97103970000171
total_output,5.832615799998166
total_hidden,42.349079799998435
total_training_5,48.181697500000155
total_output,5.685316600000078
total_hidden,42.45043040000019
total_training_6,48.13574960000187
total_output,5.763442899999063
total_hidden,42.429215700001805
total_training_7,48.19266040000002
total_output,5.844159699998272
total_hidden,42.542374600001494
total_training_8,48.38653659999909
total_output,5.770495500000834
total_hidden,42.53864800000156
total_training_9,48.309145300001546
total_output,5.718518300000142
total_hidden,42.44329149999976
total_training_10,48.16181199999846
total_output,5.779042699999991
total_hidden,42.48427840000295
total_training_11,48.263323000002856
total_output,5.736920999999711
total_hidden,42.458039400000416
total_training_12,48.19496219999928
total_output,5.679710399999749
total_hidden,42.46318070000052
total_training_13,48.14289329999883
total_output,5.633694800002559
total_hidden,42.335301700000855
total_training_14,47.96899829999893
100_60_execution_time,722.4977384000013
