Layer,Duration (seconds)
total_output,1.2719012999987171
total_hidden,1.3878077000008489
total_training_0,2.659711600001174
total_output,1.2851594000021578
total_hidden,1.387049400000251
total_training_1,2.672211299999617
total_output,1.2756097999990743
total_hidden,1.3845030999982555
total_training_2,2.6601150999995298
total_output,1.2879379000005429
total_hidden,1.3846296000010625
total_training_3,2.6725687999969523
total_output,1.286710199998197
total_hidden,1.3803523999995377
total_training_4,2.667064199999004
total_output,1.289553700000397
total_hidden,1.3984993000012764
total_training_5,2.688055300000997
total_output,1.2721363000018755
total_hidden,1.3952733000005537
total_training_6,2.667411099999299
total_output,1.270509399997536
total_hidden,1.3682308999996167
total_training_7,2.638741700000537
total_output,1.2669881000001624
total_hidden,1.3590626999975939
total_training_8,2.6260526000005484
total_output,1.2740775000020221
total_hidden,1.371595200002048
total_training_9,2.645674899998994
total_output,1.2717551000023377
total_hidden,1.3653395000001183
total_training_10,2.637096099999326
total_output,1.2573248999979114
total_hidden,1.3668398999980127
total_training_11,2.6241666999994777
total_output,1.2691417999994883
total_hidden,1.3549363999991328
total_training_12,2.6240801000021747
total_output,1.2621360999983153
total_hidden,1.3709350999997696
total_training_13,2.633074299999862
total_output,1.2563122999999905
total_hidden,1.3840893000015058
total_training_14,2.6404034000006504
100_100_execution_time,39.782875400000194
