Layer,Duration (seconds)
total_output,0.3691865999999209
total_hidden,0.4687513000000081
total_training_0,0.8379404999999451
total_output,0.36403900000004796
total_hidden,0.4686042999999245
total_training_1,0.8326448999999911
total_output,0.361352600000032
total_hidden,0.46255949999999757
total_training_2,0.8239135000000033
total_output,0.3684140999999954
total_hidden,0.5130715000000237
total_training_3,0.8814875000000484
total_output,0.36938820000000305
total_hidden,0.4748465000000124
total_training_4,0.8442361999999548
total_output,0.3631863999999041
total_hidden,0.4947735000000648
total_training_5,0.8579617000000326
total_output,0.3655654000000368
total_hidden,0.4725591000000122
total_training_6,0.838126099999954
total_output,0.379288499999916
total_hidden,0.47159270000008746
total_training_7,0.8508825000000115
total_output,0.36312930000008237
total_hidden,0.47111210000002757
total_training_8,0.8342430999999806
total_output,0.36593089999996664
total_hidden,0.46467790000008335
total_training_9,0.8306102999999894
total_output,0.36169760000007045
total_hidden,0.46594900000002326
total_training_10,0.8276481999999987
total_output,0.3622292000000016
total_hidden,0.46108120000008057
total_training_11,0.8233118000000559
total_output,0.3636140000000978
total_hidden,0.4598761000000877
total_training_12,0.8234923999999637
total_output,0.3629562999999507
total_hidden,0.4672990999999911
total_training_13,0.8302569999999605
total_output,0.36682780000001003
total_hidden,0.47209720000000743
total_training_14,0.8389264999999568
100_20_execution_time,12.600850599999944
