Layer,Duration (seconds)
total_output,7.757987999999386
total_hidden,27.462772699999732
total_training_0,35.22076329999982
total_output,7.756115799999861
total_hidden,27.561467300000004
total_training_1,35.31758489999993
total_output,7.766594400000031
total_hidden,27.455544099999315
total_training_2,35.222139999999854
total_output,7.788230099999964
total_hidden,27.492676900000333
total_training_3,35.280908499999896
total_output,7.757340000000113
total_hidden,27.490449799999624
total_training_4,35.24779169999965
total_output,7.78230799999983
total_hidden,27.48963200000071
total_training_5,35.27194299999974
total_output,7.747289299999466
total_hidden,27.473844699999972
total_training_6,35.221136000000115
total_output,7.7729519000004075
total_hidden,27.47458959999949
total_training_7,35.247542899999644
total_output,7.810140100000353
total_hidden,27.431418699999995
total_training_8,35.241561299999375
total_output,7.796954700000242
total_hidden,27.50657989999945
total_training_9,35.30353620000005
total_output,7.7579757000003156
total_hidden,27.484586300000046
total_training_10,35.24256349999996
total_output,7.769461199999569
total_hidden,27.44297430000006
total_training_11,35.21243709999999
total_output,7.768173000000388
total_hidden,27.46731230000023
total_training_12,35.23548680000022
total_output,7.762783900000613
total_hidden,27.518906999999672
total_training_13,35.28169259999959
total_output,7.747944499999903
total_hidden,27.458918000000267
total_training_14,35.20686419999947
500_40_execution_time,528.7828915
