Layer,Duration (seconds)
total_training_0,19.848460500001238
total_training_1,20.45547330000045
total_training_2,20.68082890000005
total_training_3,19.88402270000006
total_training_4,19.886073500001658
total_training_5,19.842485499997565
total_training_6,19.840644200001407
total_training_7,20.73200630000065
total_training_8,20.710806800001592
total_training_9,19.873634100000345
total_training_10,19.817401600001176
total_training_11,19.814595399999234
total_training_12,19.86826320000182
total_training_13,20.51490890000059
total_training_14,20.374504100000195
60_40_execution_time,302.1919056000006
