Layer,Duration (seconds)
total_training_0,0.4602626000014425
total_training_1,0.4545942999975523
total_training_2,0.45448680000117747
total_training_3,0.44988179999927524
total_training_4,0.4486931999999797
total_training_5,0.4508674999997311
total_training_6,0.44818320000194944
total_training_7,0.4559635999976308
total_training_8,0.44908159999977215
total_training_9,0.45402159999866853
total_training_10,0.4494699999995646
total_training_11,0.45372760000100243
total_training_12,0.4505098999979964
total_training_13,0.4516166000030353
total_training_14,0.44729480000023614
40_60_execution_time,6.805240600002435
