Layer,Duration (seconds)
total_training_0,0.28449689999990824
total_training_1,0.28703989999996793
total_training_2,0.28272900000001755
total_training_3,0.28795609999997396
total_training_4,0.284079399999996
total_training_5,0.28613960000006955
total_training_6,0.2836052000000109
total_training_7,0.2838103000000274
total_training_8,0.28678899999999885
total_training_9,0.28168269999991935
total_training_10,0.28256630000009864
total_training_11,0.2826515000000427
total_training_12,0.28700209999999515
total_training_13,0.2822472000000289
total_training_14,0.28072770000005676
40_20_execution_time,4.287594000000013
