Layer,Duration (seconds)
total_training_0,17.81878030000007
total_training_1,17.804682399999365
total_training_2,17.860965699999724
total_training_3,17.90846430000056
total_training_4,17.790779900000416
total_training_5,17.77833009999995
total_training_6,17.837991200000033
total_training_7,17.776382000000012
total_training_8,17.78526520000014
total_training_9,17.89984159999949
total_training_10,17.863578399999824
total_training_11,17.817355700000007
total_training_12,17.782252599999993
total_training_13,17.849544100000458
total_training_14,17.781871899999715
100_100_execution_time,267.3833725000004
