Layer,Duration (seconds)
total_hidden,11.556006199999501
total_output,8.099999831756577e-06
total_training_0,11.676150500000404
total_hidden,11.504004200000054
total_output,7.800000275892671e-06
total_training_1,11.653028200000335
total_hidden,11.558810300000005
total_output,8.300000445160549e-06
total_training_2,11.725248199999442
total_hidden,11.603965899999821
total_output,7.699999514443334e-06
total_training_3,11.750052399999731
total_hidden,11.770813699999962
total_output,9.299999874201603e-06
total_training_4,11.921616699999504
total_hidden,12.703751200000625
total_output,7.499999810534064e-06
total_training_5,12.863173000000643
total_hidden,11.627075599999444
total_output,7.499999810534064e-06
total_training_6,11.79285759999948
total_hidden,11.52003220000006
total_output,7.300000106624793e-06
total_training_7,11.66417249999995
total_hidden,11.596633899999688
total_output,8.299999535665847e-06
total_training_8,11.741369599999416
total_hidden,11.802363299999342
total_output,8.50000014906982e-06
total_training_9,11.954900200000338
total_hidden,11.605252199999995
total_output,8.199999683711212e-06
total_training_10,11.747257799999716
total_hidden,11.645154400000138
total_output,7.900000127847306e-06
total_training_11,11.792535999999927
total_hidden,11.725432100000035
total_output,8.000000889296643e-06
total_training_12,11.875817500000267
total_hidden,11.482030099999974
total_output,7.599999662488699e-06
total_training_13,11.631272799999351
total_hidden,11.88857949999965
total_output,8.199999683711212e-06
total_training_14,12.039481700000579
20_60_execution_time,178.78493220000018
