Layer,Duration (seconds)
total_hidden,1.4042398999999932
total_output,6.100000064179767e-06
total_training_0,1.4232293999999683
total_hidden,1.4407545000000255
total_output,6.20000002982124e-06
total_training_1,1.4594134000000167
total_hidden,1.413613600000076
total_output,6.199999916134402e-06
total_training_2,1.4324896000000535
total_hidden,1.3764109999999619
total_output,6.899999902998388e-06
total_training_3,1.3950798999999279
total_hidden,1.4728283000000602
total_output,6.600000006073969e-06
total_training_4,1.4924049999999625
total_hidden,1.436852799999997
total_output,6.299999995462713e-06
total_training_5,1.4553984000000355
total_hidden,1.420812500000011
total_output,6.499999926745659e-06
total_training_6,1.4402436999999964
total_hidden,1.4516132999999627
total_output,6.999999982326699e-06
total_training_7,1.4704136999999946
total_hidden,1.4543026000000054
total_output,8.400000069741509e-06
total_training_8,1.474513100000081
total_hidden,1.4126479999999901
total_output,6.20000002982124e-06
total_training_9,1.4319709000000103
total_hidden,1.475187500000061
total_output,6.199999916134402e-06
total_training_10,1.4936109999999871
total_hidden,1.436666999999943
total_output,6.600000006073969e-06
total_training_11,1.4557654000000184
total_hidden,1.4328362000001107
total_output,6.299999995462713e-06
total_training_12,1.4514734000000544
total_hidden,1.4571796000000177
total_output,6.4000000747910235e-06
total_training_13,1.4766499999999496
total_hidden,1.4513574000000062
total_output,6.20000002982124e-06
total_training_14,1.4705037999999604
60_60_execution_time,23.198242499999992
