Layer,Duration (seconds)
total_hidden,2.1332433999996283
total_output,6.70000008540228e-06
total_training_0,2.1595404999989114
total_hidden,2.1621658000003663
total_output,6.70000008540228e-06
total_training_1,2.188525400000799
total_hidden,2.13747340000009
total_output,7.3999999585794285e-06
total_training_2,2.162985699998899
total_hidden,2.133499400000801
total_output,1.359999987471383e-05
total_training_3,2.1582894000002852
total_hidden,2.1588952999991307
total_output,1.8799999452312477e-05
total_training_4,2.1850548000002163
total_hidden,2.132074499999362
total_output,6.300000677583739e-06
total_training_5,2.157515599999897
total_hidden,2.13564629999928
total_output,8.099999831756577e-06
total_training_6,2.1609468999995443
total_hidden,2.1678756999990583
total_output,7.200000254670158e-06
total_training_7,2.193069099999775
total_hidden,2.1428582000007736
total_output,6.800000846851617e-06
total_training_8,2.1688840000006167
total_hidden,2.1334539000017685
total_output,6.50000038149301e-06
total_training_9,2.15938769999957
total_hidden,2.156218699999954
total_output,6.8999997893115506e-06
total_training_10,2.182099699999526
total_hidden,2.1432587999988755
total_output,1.489999885961879e-05
total_training_11,2.169186700000864
total_hidden,2.1299491000008857
total_output,7.0000005507608876e-06
total_training_12,2.1545318999997107
total_hidden,2.163553399999728
total_output,6.800000846851617e-06
total_training_13,2.188387899999725
total_hidden,2.1525653999997303
total_output,7.5000007200287655e-06
total_training_14,2.1778294000014284
80_60_execution_time,33.45893969999997
