Layer,Duration (seconds)
total_hidden,77.99941590000526
total_output,1.080000220099464e-05
total_training_0,78.06533050000144
total_hidden,78.05847640000138
total_output,7.299997378140688e-06
total_training_1,78.10108610000316
total_hidden,78.18644499999937
total_output,6.499998562503606e-06
total_training_2,78.22819449999952
total_hidden,77.88570979999349
total_output,1.0700001439545304e-05
total_training_3,77.92736769999465
total_hidden,78.00615700000344
total_output,6.800000846851617e-06
total_training_4,78.05643439999403
total_hidden,78.15950429999793
total_output,6.900001608300954e-06
total_training_5,78.20544779999909
total_hidden,78.22514429999865
total_output,6.400005077011883e-06
total_training_6,78.27864980000595
total_hidden,78.02080510000087
total_output,6.400005077011883e-06
total_training_7,78.06904709999799
total_hidden,78.7099847999998
total_output,6.200003554113209e-06
total_training_8,78.75245030000224
total_hidden,77.96834750000562
total_output,6.400005077011883e-06
total_training_9,78.0162521999955
total_hidden,78.20083500000328
total_output,6.900001608300954e-06
total_training_10,78.25430369999958
total_hidden,78.3993272000007
total_output,6.199996278155595e-06
total_training_11,78.44228550000116
total_hidden,78.11115699999937
total_output,6.999995093792677e-06
total_training_12,78.1766529000015
total_hidden,77.82557359999919
total_output,6.70000008540228e-06
total_training_13,77.87318270000105
total_hidden,77.8393808999972
total_output,7.399998139590025e-06
total_training_14,77.88055919999897
1000_40_execution_time,1173.2301075000069
