Layer,Duration (seconds)
total_hidden,13.572105800000031
total_output,9.199999965403549e-06
total_training_0,13.70029790000001
total_hidden,12.73505130000001
total_output,7.700000026034104e-06
total_training_1,12.908927900000037
total_hidden,12.213608700000009
total_output,8.100000002286833e-06
total_training_2,12.367969000000016
total_hidden,11.703609200000017
total_output,8.499999978539563e-06
total_training_3,11.863236700000016
total_hidden,12.159555599999976
total_output,8.999999977277184e-06
total_training_4,12.302361700000006
total_hidden,11.937290700000005
total_output,8.900000011635711e-06
total_training_5,12.091978199999971
total_hidden,11.773314500000026
total_output,7.600000003549212e-06
total_training_6,11.923518099999967
total_hidden,11.72867640000004
total_output,7.3999999585794285e-06
total_training_7,11.871360200000026
total_hidden,11.772710899999993
total_output,7.900000014160469e-06
total_training_8,11.928891900000053
total_hidden,11.737256900000034
total_output,7.2999999929379555e-06
total_training_9,11.889685199999917
total_hidden,12.03729640000006
total_output,7.2999999929379555e-06
total_training_10,12.185848899999996
total_hidden,11.838982900000019
total_output,7.500000037907739e-06
total_training_11,11.98538090000011
total_hidden,11.817150099999935
total_output,7.000000096013537e-06
total_training_12,11.963297799999964
total_hidden,11.836833800000022
total_output,7.600000003549212e-06
total_training_13,11.980375399999957
total_hidden,13.406473499999947
total_output,7.000000096013537e-06
total_training_14,13.583997299999965
20_60_execution_time,185.5676234
