Layer,Duration (seconds)
total_hidden,0.382839599998988
total_output,6.70000008540228e-06
total_training_0,0.3908460000020568
total_hidden,0.37848400000075344
total_output,6.300000677583739e-06
total_training_1,0.3866087000023981
total_hidden,0.3656531000015093
total_output,7.400001777568832e-06
total_training_2,0.37460310000096797
total_hidden,0.3696985000024142
total_output,6.300000677583739e-06
total_training_3,0.3772790000002715
total_hidden,0.37240810000002966
total_output,6.099999154685065e-06
total_training_4,0.3807368999987375
total_hidden,0.36297819999890635
total_output,1.2699998478638008e-05
total_training_5,0.3712390000000596
total_hidden,0.37007620000076713
total_output,5.600002623395994e-06
total_training_6,0.37746730000071693
total_hidden,0.3780771999990975
total_output,1.4199998986441642e-05
total_training_7,0.3869629000000714
total_hidden,0.36751530000037747
total_output,6.499998562503606e-06
total_training_8,0.37504769999941345
total_hidden,0.37214940000194474
total_output,6.099999154685065e-06
total_training_9,0.3806743999994069
total_hidden,0.3710666000006313
total_output,7.99999907030724e-06
total_training_10,0.37905619999946794
total_hidden,0.3644163999997545
total_output,6.499998562503606e-06
total_training_11,0.3725997000001371
total_hidden,0.36730960000204504
total_output,6.499998562503606e-06
total_training_12,0.37517400000069756
total_hidden,0.37362779999966733
total_output,1.0399999155197293e-05
total_training_13,0.3816354999980831
total_hidden,0.3715335999986564
total_output,6.599999323952943e-06
total_training_14,0.37997140000152285
40_20_execution_time,6.602193500002613
