Layer,Duration (seconds)
total_hidden,1.1719516999992265
total_output,6.999999641266186e-06
total_training_0,1.1914720999993733
total_hidden,1.1686956000003192
total_output,6.400000529538374e-06
total_training_1,1.1877988000005644
total_hidden,1.163931799999773
total_output,5.99999930273043e-06
total_training_2,1.1825532000002568
total_hidden,1.1459562999998525
total_output,6.50000038149301e-06
total_training_3,1.1646133000003829
total_hidden,1.1686781000007613
total_output,6.70000008540228e-06
total_training_4,1.1872529000002032
total_hidden,1.1597678999996788
total_output,7.099999493220821e-06
total_training_5,1.178741299999274
total_hidden,1.1607010000006994
total_output,7.300000106624793e-06
total_training_6,1.1792531999999483
total_hidden,1.1808415999994395
total_output,6.399999620043673e-06
total_training_7,1.1991420000003927
total_hidden,1.1450461000003997
total_output,1.6599999980826396e-05
total_training_8,1.1642447000003813
total_hidden,1.1527300000007017
total_output,6.399999620043673e-06
total_training_9,1.172725100000207
total_hidden,1.163454399999864
total_output,6.50000038149301e-06
total_training_10,1.1830894999993689
total_hidden,1.1537348000001657
total_output,6.799999937356915e-06
total_training_11,1.1735828999999285
total_hidden,1.1495985999999903
total_output,2.750000021478627e-05
total_training_12,1.1682295000000522
total_hidden,1.1683081000001039
total_output,7.499999810534064e-06
total_training_13,1.188355500000398
total_hidden,1.1499825999999302
total_output,6.499999471998308e-06
total_training_14,1.16780480000034
60_40_execution_time,18.639601500000026
