Layer,Duration (seconds)
total_hidden,3.025293500000771
total_output,5.800000508315861e-06
total_training_0,3.0710712000000058
total_hidden,3.0136157000015373
total_output,5.899999450775795e-06
total_training_1,3.067515100001401
total_hidden,3.031022099999973
total_output,6.8999997893115506e-06
total_training_2,3.0643583000000945
total_hidden,3.062558399999034
total_output,6.399999620043673e-06
total_training_3,3.097263899999234
total_hidden,3.0508785999991233
total_output,6.300000677583739e-06
total_training_4,3.0913806999997178
total_hidden,3.1130301999983203
total_output,7.300001016119495e-06
total_training_5,3.1470030000000406
total_hidden,3.0756318000003375
total_output,1.3699998817173764e-05
total_training_6,3.108270900000207
total_hidden,3.07571740000094
total_output,7.0000005507608876e-06
total_training_7,3.1158632000006037
total_hidden,3.0872376000006625
total_output,6.999998731771484e-06
total_training_8,3.14888769999925
total_hidden,3.0705240000006597
total_output,5.699999746866524e-06
total_training_9,3.109167200000229
total_hidden,2.9986593000012363
total_output,6.400001439033076e-06
total_training_10,3.049782599999162
total_hidden,3.023250399999597
total_output,6.70000008540228e-06
total_training_11,3.0563271999999415
total_hidden,3.0239549999987503
total_output,6.100000973674469e-06
total_training_12,3.0617694000011397
total_hidden,3.048676800000976
total_output,5.900001269765198e-06
total_training_13,3.0834872000014
total_hidden,3.02916550000009
total_output,6.400001439033076e-06
total_training_14,3.073361200000363
40_40_execution_time,47.24601269999948
